Rank,Batsman,In Strength,PageRank Score,Batting Average
553,TS Mills,0.3187,0.00044,1.6      
554,Ankit Soni,0.30417,0.00044,2.33333  
555,SD Lad,0.47906,0.00044,15.0     
556,BJ Haddin,0.68891,0.00044,18.0     
557,SH Johnson,0.283,0.00044,2.0      
558,AJ Hosein,0.73767,0.00044,16.0     
559,CRD Fernando,0.18998,0.00044,2.0      
560,CJ McKay,0.28325,0.00044,8.0      
561,P Chopra,0.34379,0.00044,8.0      
562,M Theekshana,0.35198,0.00044,3.5      
563,P Awana,0.19059,0.00044,0.71429  
564,RS Sodhi,0.23544,0.00044,4.0      
565,D Ferreira,0.33309,0.00044,4.0      
566,BA Bhatt,0.26714,0.00044,3.0      
567,D du Preez,0.34248,0.00044,10.0     
568,K Kartikeya,0.34747,0.00044,4.5      
569,A Uniyal,0.17794,0.00044,2.0      
570,BAW Mendis,0.13286,0.00044,1.0      
571,UA Birla,0.29849,0.00044,7.0      
572,PSP Handscomb,0.24111,0.00044,6.0      
573,L Wood,0.41456,0.00044,9.0      
574,Shivam Sharma,0.27093,0.00044,2.5      
575,A Singh,0.09453,0.00044,0.4      
576,T Kohli,0.40866,0.00044,2.75     
577,DP Nannes,0.1881,0.00044,1.33333  
578,DG Nalkande,0.26086,0.00044,6.0      
579,F Behardien,0.53353,0.00044,4.66667  
580,GD McGrath,0.19641,0.00044,1.33333  
581,A Chandila,0.18972,0.00044,2.0      
582,I Malhotra,0.25073,0.00044,7.0      
583,AA Kulkarni,0.40238,0.00044,4.5      
584,JP Behrendorff,0.25564,0.00044,3.0      
585,Mukesh Choudhary,0.48611,0.00044,3.0      
586,AA Noffke,0.29334,0.00044,9.0      
587,R Sai Kishore,0.37634,0.00044,6.5      
588,SB Joshi,0.20667,0.00044,3.0      
589,JE Taylor,0.14996,0.00044,1.5      
590,RJW Topley,0.12437,0.00044,3.0      
591,Mohammad Asif,0.14082,0.00044,1.5      
592,SB Wagh,0.11772,0.00044,1.0      
593,Fazalhaq Farooqi,0.12888,0.00044,1.5      
594,AN Ghosh,0.29382,0.00044,3.5      
595,CK Langeveldt,0.35922,0.00044,4.0      
596,S Tyagi,0.11484,0.00044,1.0      
597,GHS Garton,0.08316,0.00044,0.66667  
598,FH Edwards,0.13951,0.00044,2.0      
599,VRV Singh,0.15398,0.00044,2.0      
600,D Kalyankrishna,0.09008,0.00044,3.0      
601,JPR Scantlebury-Searles,0.24759,0.00044,4.0      
602,RG More,0.09762,0.00044,2.0      
603,GC Viljoen,0.14957,0.00044,1.0      
604,A Dananjaya,0.16925,0.00044,4.0      
605,Younis Khan,0.11587,0.00044,3.0      
606,A Tomar,0.16821,0.00044,4.0      
607,Mohammad Ashraful,0.07368,0.00044,2.0      
608,Simarjeet Singh,0.29619,0.00044,2.33333  
609,SS Shaikh,0.24764,0.00044,6.0      
610,Liton Das,0.12715,0.00044,4.0      
611,S Randiv,0.11772,0.00044,2.0      
612,A Kamboj,0.09591,0.00044,2.0      
613,Harshit Rana,0.08411,0.00044,0.66667  
614,Akash Madhwal,0.17802,0.00044,4.0      
615,KMDN Kulasekara,0.17688,0.00044,5.0      
616,Shoaib Akhtar,0.12849,0.00044,2.0      
617,DM Bravo,0.21506,0.00044,6.0      
618,Kumar Kushagra,0.11509,0.00044,1.0      
619,KP Appanna,0.09211,0.00044,0.66667  
620,Mohit Rathee,0.0411,0.00044,1.0      
621,H Das,0.11765,0.00044,2.0      
622,Shivam Singh,0.0602,0.00044,2.0      
623,T Natarajan,0.11221,0.00044,0.75     
624,BE Hendricks,0.04996,0.00044,0.33333  
625,KA Maharaj,0.03357,0.00044,1.0      
626,RJ Gleeson,0.0858,0.00044,2.0      
627,RS Gavaskar,0.09706,0.00044,2.0      
628,R Ninan,0.11848,0.00044,3.0      
629,Arshad Khan (2),0.2757,0.00044,5.0      
630,K Yadav,0.0,0.00044,0.0      
631,Yash Dayal,0.0,0.00044,0.0      
632,RP Meredith,0.0,0.00044,0.0      
633,LE Plunkett,0.03495,0.00044,0.5      
634,Y Prithvi Raj,0.0,0.00044,0.0      
635,R Sanjay Yadav,0.0,0.00044,0.0      
636,BR Sharath,0.06982,0.00044,2.0      
637,KK Ahmed,0.0408,0.00044,0.2      
638,T Shamsi,0.08314,0.00044,2.0      
639,DP Vijaykumar,0.04502,0.00044,0.5      
640,PM Sarvesh Kumar,0.04502,0.00044,1.0      
641,SZ Mulani,0.03895,0.00044,1.0      
642,SS Cottrell,0.0,0.00044,0.0      
643,DJ Muthuswami,0.05028,0.00044,0.5      
644,Abdul Basith,0.05028,0.00044,1.0      
645,JL Denly,0.0,0.00044,0.0      
646,V Pratap Singh,0.0,0.00044,0.0      
647,SE Bond,0.05882,0.00044,1.0      
648,S Lamichhane,0.0,0.00044,0.0      
649,Shoaib Ahmed,0.02737,0.00044,0.33333  
650,ND Doshi,0.0,0.00044,0.0      
651,Kamran Khan,0.11111,0.00044,1.5      
652,S Ladda,0.0,0.00044,0.0      
653,YA Abdulla,0.0,0.00044,0.0      
654,A Nel,0.0,0.00044,0.0      
655,VS Yeligati,0.06026,0.00044,2.0      
656,U Kaul,0.0,0.00044,0.0      
657,Sunny Gupta,0.0,0.00044,0.0      
658,RR Bhatkal,0.0,0.00044,0.0      
659,Mashrafe Mortaza,0.07012,0.00044,2.0      
660,HF Gurney,0.02899,0.00044,1.0      
661,C Nanda,0.0,0.00044,0.0      
662,L Ablish,0.0,0.00044,0.0      
663,IC Pandey,0.0,0.00044,0.0      
664,NJ Rimmington,0.0454,0.00044,1.0      
665,M de Lange,0.0454,0.00044,1.0      
666,KM Asif,0.0,0.00044,0.0      
667,B Stanlake,0.14218,0.00044,5.0      
668,MJ Suthar,0.03587,0.00044,1.0      
669,KR Sen,0.0,0.00044,0.0      
670,Mayank Dagar,0.0,0.00044,0.0      
671,P Parameswaran,0.01786,0.00044,0.5      
672,Abdur Razzak,0.0,0.00044,0.0      
673,Navdeep Saini,0.06707,0.00044,2.0      
674,LB Williams,0.04796,0.00044,1.0      
675,S Kaushik,0.0,0.00044,0.0      
