Rank,Batsman,In Strength,PageRank Score,Batting Average
153,LR Shukla,16.67816,0.00069,11.91176 
154,J Botha,16.95392,0.00069,14.60714 
155,A Mishra,15.62782,0.00068,6.68421  
156,Azhar Mahmood,15.64105,0.00066,18.47619 
157,AL Menaria,16.12405,0.00066,17.43478 
158,KV Sharma,14.40921,0.00065,8.775    
159,CA Pujara,15.1055,0.00064,17.72727 
160,JR Hopes,15.78213,0.00064,21.94737 
161,MV Boucher,15.36927,0.00064,16.41667 
162,DB Ravi Teja,14.49473,0.00064,15.0     
163,S Sohal,15.27427,0.00063,18.4     
164,P Kumar,13.38372,0.00063,5.76271  
165,Shashank Singh,16.99728,0.00063,22.26316 
166,P Negi,14.13324,0.00063,10.42857 
167,Washington Sundar,14.38062,0.00063,9.45     
168,B Kumar,12.66512,0.00062,4.5      
169,R Bhatia,13.31879,0.00062,6.97959  
170,RN ten Doeschate,13.34656,0.00061,14.81818 
171,N Wadhera,15.75984,0.0006 ,21.875   
172,R Vinay Kumar,12.50506,0.0006 ,6.73913  
173,T Stubbs,14.7895,0.0006 ,23.82353 
174,SA Asnodkar,15.05954,0.0006 ,21.15    
175,AP Tare,13.10375,0.0006 ,12.10714 
176,DB Das,12.56294,0.00059,13.81818 
177,DJ Mitchell,13.06823,0.00059,23.4     
178,LA Pomersbach,13.37079,0.00059,18.875   
179,SN Thakur,12.38048,0.00059,8.2973   
180,JEC Franklin,12.94552,0.00058,20.4375  
181,R Powell,13.11084,0.00058,16.36364 
182,Dhruv Jurel,13.58792,0.00058,15.77273 
183,Anuj Rawat,12.45404,0.00058,15.14286 
184,Abishek Porel,13.28175,0.00058,22.5     
185,Lalit Yadav,12.23782,0.00057,14.52381 
186,Y Nagar,11.21658,0.00057,14.25    
187,UBT Chand,11.0042,0.00057,15.0     
188,DJG Sammy,11.53942,0.00057,14.75    
189,GH Vihari,10.73717,0.00057,12.34783 
190,SP Goswami,11.45237,0.00057,13.95238 
191,KR Mayers,14.53556,0.00057,29.15385 
192,A Ashish Reddy,10.85503,0.00057,12.17391 
193,MJ Guptill,10.99628,0.00056,19.35714 
194,C de Grandhomme,11.36677,0.00056,14.42857 
195,B Chipli,10.74469,0.00056,13.33333 
196,R Sathish,10.21762,0.00055,10.8     
197,HV Patel,10.06142,0.00055,5.92857  
198,PK Garg,10.45886,0.00055,14.36842 
199,Nithish Kumar Reddy,11.51597,0.00055,27.54545 
200,PBB Rajapaksa,10.94455,0.00055,21.30769 
201,VVS Laxman,10.44765,0.00054,14.1     
202,JO Holder,9.38448,0.00054,9.59259  
203,Harpreet Brar,10.24309,0.00054,9.70833  
204,UT Yadav,8.40838,0.00054,4.0      
205,R Dhawan,8.73006,0.00054,8.75     
206,BCJ Cutting,9.47233,0.00054,14.0     
207,Rahmanullah Gurbaz,11.38694,0.00054,22.23077 
208,K Gowtham,9.72084,0.00053,9.14815  
209,J Fraser-McGurk,11.45862,0.00053,36.66667 
210,A Manohar,9.39909,0.00053,15.4     
211,M Kaif,9.45072,0.00053,11.77273 
212,MD Mishra,9.31795,0.00053,13.94118 
213,Atharva Taide,9.50382,0.00053,27.44444 
214,MJ Lumb,10.4787,0.00052,23.16667 
215,Mohammad Nabi,8.47592,0.00052,11.05    
216,JD Unadkat,8.17226,0.00052,6.15625  
217,Kuldeep Yadav,7.62011,0.00052,5.54545  
218,AA Jhunjhunwala,8.59644,0.00051,13.5625  
219,DW Steyn,7.05801,0.00051,4.51351  
220,WG Jacks,10.0903,0.00051,28.75    
221,AS Raut,7.94421,0.00051,12.125   
222,AB Agarkar,7.78792,0.00051,8.13636  
223,SM Katich,9.12799,0.00051,21.90909 
224,JC Archer,8.36952,0.00051,7.96     
225,K Rabada,7.57778,0.00051,6.64516  
226,CA Ingram,7.62632,0.00051,13.66667 
227,K Goel,8.08697,0.00051,12.82353 
228,S Gopal,7.32142,0.00051,8.18182  
229,Bipul Sharma,7.59509,0.00051,11.0     
230,R Ravindra,8.3748,0.00051,22.2     
231,CM Gautam,6.93824,0.00051,13.0     
232,D Brevis,8.75499,0.0005 ,23.0     
233,MG Johnson,6.60467,0.0005 ,5.56667  
234,YV Takawale,8.07262,0.0005 ,19.2     
235,CR Brathwaite,7.34995,0.0005 ,12.92857 
236,MM Sharma,4.84462,0.0005 ,4.0      
237,HC Brook,7.35443,0.0005 ,17.27273 
238,DH Yagnik,6.89382,0.0005 ,10.0     
239,SP Fleming,7.90104,0.0005 ,19.6     
240,SK Warne,7.08411,0.0005 ,6.82759  
241,MN Samuels,6.45555,0.0005 ,11.5     
242,KS Bharat,7.95936,0.0005 ,22.11111 
243,RE van der Merwe,6.70419,0.0005 ,10.6     
244,Sikandar Raza,7.00861,0.00049,20.22222 
245,MF Maharoof,7.3151,0.00049,12.64286 
246,AC Voges,7.07536,0.00049,25.85714 
247,BJ Rohrer,7.48492,0.00049,21.44444 
248,C Munro,6.56962,0.00049,14.75    
249,FY Fazal,7.35867,0.00049,16.63636 
250,Salman Butt,8.17136,0.00049,27.57143 
251,MS Wade,7.41492,0.00049,13.07143 
252,D Wiese,5.90607,0.00049,13.45455 
253,Ashutosh Sharma,7.40247,0.00049,21.0     
254,B Lee,5.89459,0.00049,6.52632  
255,Sachin Baby,5.59123,0.00049,13.09091 
256,PA Reddy,6.42074,0.00048,14.90909 
257,MN van Wyk,7.08973,0.00048,33.4     
258,Ramandeep Singh,6.40416,0.00048,13.07692 
259,M Morkel,5.24226,0.00048,5.47826  
260,R McLaren,6.08089,0.00048,12.23077 
261,N Jagadeesan,6.48804,0.00048,16.2     
262,N Saini,6.02127,0.00048,14.0     
263,SD Hope,6.10836,0.00048,20.33333 
264,TG Southee,4.99657,0.00048,6.0      
265,A Raghuvanshi,6.09487,0.00048,23.28571 
266,AB McDonald,5.66677,0.00048,13.66667 
267,SS Prabhudessai,5.29959,0.00048,12.6     
268,MC Juneja,5.31444,0.00048,17.85714 
269,DL Vettori,4.95755,0.00048,7.11765  
