Rank,Bowler,In Strength,PageRank Score,Bowling Average
91,Sohail Tanvir,80.21913,0.00144,10.25
92,MF Maharoof,80.01075,0.00146,14.9697
93,JR Hazlewood,77.55547,0.00146,21.97222
94,S Gopal,76.96887,0.00149,25.28302
95,CR Woakes,76.7641,0.00145,20.48387
96,A Singh,76.46537,0.00141,19.45161
97,Yuvraj Singh,75.58773,0.00144,27.28205
98,GJ Maxwell,75.37445,0.00144,31.09756
99,SK Warne,75.00214,0.00137,23.46667
100,L Ngidi,74.63291,0.00139,15.35714
101,SW Tait,73.91314,0.00131,21.42308
102,VR Aaron,72.79943,0.00139,30.45652
103,P Negi,72.17085,0.00136,24.26316
104,KK Cooper,71.3383,0.00129,20.13889
105,STR Binny,71.24779,0.00133,26.46429
106,S Sreesanth,71.01674,0.00128,25.86047
107,A Zampa,70.93639,0.00129,18.23333
108,P Awana,70.80321,0.0013 ,23.25581
109,YK Pathan,70.68101,0.00129,29.82609
110,M Prasidh Krishna,70.47907,0.00131,29.98148
111,NLTC Perera,70.27325,0.0013 ,26.97297
112,S Nadeem,69.85281,0.00131,32.46296
113,MP Stoinis,69.69288,0.00128,27.55556
114,M Markande,69.60319,0.00129,28.40541
115,CJ Jordan,69.48789,0.00133,28.69444
116,Azhar Mahmood,69.28858,0.00125,21.96774
117,SB Jakati,68.81696,0.00127,28.44
118,WPUJC Vaas,68.79446,0.00118,15.68182
119,R Sharma,68.04489,0.00123,25.69048
120,Mukesh Kumar,67.59362,0.00118,21.70968
121,Harshit Rana,67.25963,0.00117,20.85185
122,Washington Sundar,64.70727,0.00119,33.5641
123,Naveen-ul-Haq,64.53298,0.0011 ,21.96154
124,Harmeet Singh,64.33023,0.00111,22.16667
125,RE van der Merwe,64.16243,0.00109,19.44
126,R Dhawan,63.54584,0.00116,31.51852
127,DL Vettori,63.39178,0.00111,25.61765
128,Yash Thakur,63.2285,0.0011 ,24.55556
129,Mohsin Khan,62.50584,0.00109,24.55556
130,Akash Madhwal,61.84964,0.00102,18.5
131,BW Hilfenhaus,61.39651,0.00108,20.04348
132,MS Gony,61.00652,0.00109,32.05128
133,CRD Fernando,60.63967,0.00104,14.68421
134,BJ Hodge,59.58077,0.001  ,16.33333
135,KW Richardson,59.52217,0.00106,21.80952
136,DR Smith,59.49652,0.00109,29.14815
137,Umran Malik,59.13438,0.00104,23.6129
138,R Tewatia,58.79258,0.00109,30.22222
139,Shivam Mavi,58.78984,0.00108,27.36364
140,B Lee,58.31715,0.00105,34.73333
141,Yash Dayal,58.15711,0.00103,28.32258
142,M Ashwin,57.35381,0.00107,32.31429
143,BA Stokes,57.09665,0.00105,30.83871
144,M Kartik,56.16735,0.00101,34.38462
145,JP Behrendorff,55.92128,0.00099,24.31818
146,R Rampaul,55.35014,0.00097,17.58824
147,GB Hogg,55.02839,0.00097,22.08
148,JP Duminy,54.96919,0.001  ,34.86957
149,J Botha,54.63786,0.00097,28.92593
150,VG Arora,54.04253,0.00096,27.5
151,Harpreet Brar,53.80372,0.001  ,35.0
152,RP Meredith,53.50552,0.00096,27.2381
153,C Sakariya,53.02322,0.00096,28.15
154,A Ashish Reddy,51.58765,0.00093,20.31579
155,M Theekshana,51.53985,0.0009 ,31.56
156,AB Agarkar,50.60238,0.00091,33.69697
157,SK Raina,50.59455,0.00094,36.53333
158,A Symonds,50.5608,0.0009 ,28.52174
159,MJ Santner,49.52527,0.00088,25.6875
160,Noor Ahmad,49.51342,0.00086,26.54167
161,CK Langeveldt,49.2065,0.00084,13.69231
162,AD Mascarenhas,49.04723,0.00083,18.57895
163,Bipul Sharma,48.89547,0.0009 ,25.31818
164,PV Tambe,48.7623,0.00089,29.78571
165,Basil Thampi,48.44928,0.00091,31.84615
166,M Jansen,47.93134,0.00088,30.22727
167,VY Mahesh,47.74324,0.00082,21.72727
168,AD Mathews,47.36134,0.00089,37.64286
169,AS Rajpoot,47.23643,0.0009 ,32.16667
170,CH Gayle,46.81075,0.00087,35.78947
171,AC Thomas,46.48663,0.00085,24.625
172,Shahbaz Ahmed,45.54635,0.00085,39.28571
173,AB McDonald,45.43976,0.00081,18.5
174,Vijaykumar Vyshak,45.30442,0.00079,22.52941
175,C Green,45.29937,0.00083,31.7
176,Anureet Singh,44.85792,0.00085,28.61905
177,AS Joseph,44.54489,0.00083,30.40909
178,S Lamichhane,44.54466,0.00083,20.78571
179,RG Sharma,44.41566,0.00082,27.375
180,CR Brathwaite,43.99975,0.00083,22.6875
181,ST Jayasuriya,43.91635,0.00081,23.4375
182,BE Hendricks,43.4755,0.00081,20.36364
183,LR Shukla,42.40506,0.00078,25.23529
184,IC Pandey,41.96984,0.00082,30.73684
185,Kamran Khan,41.84353,0.00075,16.28571
186,DJG Sammy,41.70074,0.0008 ,24.35714
187,G Coetzee,41.23696,0.00076,24.46154
188,D Wiese,41.222,0.00079,25.17647
189,KR Sen,40.96476,0.00075,26.57143
190,NT Ellis,40.88747,0.00076,26.10526
191,K Gowtham,40.82076,0.0008 ,36.22727
192,SM Pollock,40.53342,0.00075,22.84615
193,MP Yadav,39.98821,0.0007 ,10.25
194,N Rana,39.84028,0.00077,24.7
195,MA Wood,39.74989,0.00073,15.63636
196,J Little,39.55433,0.00074,25.46154
197,DR Sams,38.98065,0.00077,32.6
198,YA Abdulla,38.89152,0.00074,19.6
199,AN Ahmed,38.85743,0.00077,31.13333
200,SJ Srivastava,38.78907,0.00075,27.26667
201,Mujeeb Ur Rahman,38.5234,0.00077,28.2
202,T Thushara,37.99152,0.00071,15.2
203,RS Bopara,37.77008,0.00074,21.23077
204,A Chandila,37.03737,0.00072,22.0
205,J Suchith,36.78611,0.00075,29.25
206,Umar Gul,36.71395,0.00067,11.85714
207,RR Powar,36.657,0.00074,33.4
208,V Pratap Singh,36.20018,0.00073,24.08333
209,GD McGrath,35.48084,0.00068,25.14286
210,J Theron,35.28339,0.0007 ,22.15385
211,Mukesh Choudhary,35.17257,0.00071,27.0
212,Mohammad Nabi,35.08658,0.00072,34.26667
213,NA Saini,34.9433,0.00074,40.45
214,BB Sran,34.61905,0.00073,35.9
215,V Shankar,34.50651,0.00072,26.91667
216,R McLaren,34.40065,0.00071,37.14286
217,JL Pattinson,33.45572,0.0007 ,28.27273
218,KP Appanna,33.1383,0.00069,25.27273
219,S Badree,32.80359,0.00071,28.09091
220,Anand Rajan,32.79388,0.00068,18.8
221,TS Mills,32.15004,0.00068,29.81818
222,R Sai Kishore,32.09734,0.00066,19.46154
223,Abhishek Sharma,31.98019,0.00069,34.54545
224,SMSM Senanayake,31.58216,0.00068,22.88889
225,JD Ryder,31.34473,0.00067,27.0
226,LS Livingstone,31.18135,0.00068,34.90909
227,Kartik Tyagi,31.14622,0.0007 ,42.1875
228,JDP Oram,31.12342,0.00068,26.30769
229,CJ Anderson,31.10327,0.00069,35.5
230,IS Sodhi,31.07783,0.00067,22.33333
231,KP Pietersen,31.04691,0.00066,22.77778
232,KMA Paul,30.93515,0.00067,21.6
233,KA Jamieson,30.826,0.00067,28.66667
234,JR Hopes,30.75915,0.00068,38.5
235,Suyash Sharma,30.58624,0.00067,33.27273
236,OC McCoy,30.46743,0.00067,21.0
237,Ankit Sharma,30.39946,0.00068,36.33333
238,BA Bhatt,30.22211,0.00067,29.92308
239,Karanveer Singh,30.19199,0.00066,22.28571
240,AG Murtaza,29.95763,0.00066,25.33333
241,TK Curran,29.57712,0.00068,32.0
242,BAW Mendis,29.46843,0.00066,32.77778
243,SE Bond,29.34443,0.00064,24.22222
244,Simarjeet Singh,29.2076,0.00065,24.2
245,DA Warner,29.17699,0.00056,1.0
246,FH Edwards,29.08314,0.00065,24.0
247,Joginder Sharma,28.91581,0.00066,30.92308
248,SC Ganguly,28.7673,0.00065,29.91667
249,PVD Chameera,28.68457,0.00066,37.54545
250,VRV Singh,28.30413,0.00066,33.1875
251,BCJ Cutting,28.25351,0.00067,35.16667
252,Ramandeep Singh,27.9154,0.0006 ,9.66667
253,JEC Franklin,27.22634,0.00063,24.0
254,K Kartikeya,27.13009,0.00064,32.1
255,Shahid Afridi,26.75808,0.00063,24.44444
256,T Stubbs,26.49272,0.00057,7.0
257,Swapnil Singh,26.34764,0.00064,34.0
258,I Udana,25.74115,0.00064,34.25
259,J Syed Mohammad,25.58244,0.00062,27.9
260,Lalit Yadav,25.4822,0.00063,38.09091
261,DJ Hooda,25.41495,0.00065,51.8
262,B Stanlake,24.89228,0.00063,27.71429
263,Shoaib Akhtar,24.80291,0.00059,10.0
264,N Burger,24.55448,0.0006 ,19.71429
265,MN Samuels,24.5052,0.00062,27.8
266,Pankaj Singh,24.25908,0.00063,41.18182
267,P Parameswaran,24.24715,0.00062,24.33333
268,S Dube,24.20027,0.00062,29.16667
269,Rasikh Salam,24.09236,0.00062,36.33333
270,O Thomas,24.03086,0.00059,15.2
271,RV Gomez,23.62748,0.0006 ,21.33333
272,N Thushara,23.59325,0.0006 ,29.875
273,M Ntini,23.36872,0.00061,29.75
274,AM Salvi,23.31542,0.00061,27.14286
275,DJ Hussey,23.26898,0.00063,46.7
276,AM Nayar,23.14642,0.00062,34.55556
277,MG Bracewell,22.92288,0.00057,15.83333
278,AF Milne,22.57088,0.00062,34.77778
279,S Dhawan,22.54787,0.0006 ,16.25
280,HF Gurney,22.48628,0.00062,33.0
281,S Sandeep Warrier,22.22991,0.00061,30.625
282,R Shukla,22.21479,0.00061,28.28571
283,Gurkeerat Singh,22.20561,0.0006 ,18.6
284,B Laughlin,21.83521,0.00061,27.1
285,Mohammad Asif,21.74113,0.00059,32.11111
286,L Ablish,21.65914,0.00058,14.4
287,SS Cottrell,21.62013,0.0006 ,26.83333
288,JE Taylor,21.25521,0.0006 ,25.33333
289,AS Roy,20.95711,0.0006 ,30.83333
290,SB Styris,20.95372,0.0006 ,30.0
291,KM Asif,20.66126,0.0006 ,31.28571
292,S Randiv,20.65724,0.0006 ,27.125
293,OF Smith,20.63414,0.00059,24.71429
294,B Akhil,20.59077,0.0006 ,33.57143
295,C de Grandhomme,20.4007,0.0006 ,43.0
296,DG Nalkande,20.25981,0.00058,23.83333
297,Fazalhaq Farooqi,20.25904,0.00059,36.16667
298,KMDN Kulasekara,19.91776,0.00058,19.16667
299,KC Cariappa,19.54098,0.0006 ,42.5
300,DJ Willey,19.52987,0.00059,38.14286
301,PC Valthaty,19.39124,0.00059,28.42857
302,A Choudhary,19.24798,0.00059,27.4
303,J Yadav,18.86044,0.0006 ,48.55556
304,TL Suman,18.76279,0.00058,27.85714
305,RR Raje,18.28673,0.00058,28.57143
306,A Mithun,18.23786,0.00059,56.0
307,S Tyagi,17.84256,0.00059,47.33333
308,PD Collingwood,17.81839,0.00057,20.0
309,SB Wagh,17.70247,0.00057,26.2
310,Akash Deep,17.60457,0.00058,38.5
311,JDS Neesham,17.48229,0.00059,41.0
312,AA Chavan,17.3247,0.00058,39.75
313,VS Malik,17.28082,0.00058,42.33333
314,Y Venugopal Rao,17.1816,0.00059,47.0
315,DJ Muthuswami,16.87538,0.00058,25.25
316,LA Carseldine,16.82193,0.00056,5.0
317,M de Lange,16.8018,0.00057,26.16667
318,Arjun Tendulkar,16.64381,0.00056,26.0
319,GC Viljoen,16.55732,0.00057,26.25
320,Arshad Khan,16.42247,0.00058,43.0
321,Navdeep Saini,16.29493,0.00056,22.16667
322,SB Bangar,16.10595,0.00057,35.33333
323,D Pretorius,15.99366,0.00057,31.71429
324,R Sathish,15.95505,0.00057,37.83333
325,V Sehwag,15.93301,0.00057,38.83333
326,K Khejroliya,15.832,0.00058,41.8
327,RN ten Doeschate,15.78305,0.00058,29.33333
328,D du Preez,15.65578,0.00056,13.75
329,P Amarnath,15.49097,0.00057,33.71429
330,Jaskaran Singh,15.33193,0.00057,27.0
331,S Narwal,15.22373,0.00057,32.5
332,A Badoni,15.18971,0.00055,18.0
333,JM Kemp,15.01972,0.00056,17.0
334,R Shepherd,15.0134,0.00057,41.16667
335,SM Harwood,14.73896,0.00056,20.33333
336,SH Johnson,14.70779,0.00056,37.0
337,Shoaib Ahmed,14.64821,0.00056,30.2
338,V Kohli,14.61882,0.00057,70.8
339,Y Nagar,14.4865,0.00056,29.25
340,GD Phillips,14.33762,0.00056,19.5
341,S Kaushik,14.18403,0.00057,48.5
342,R Parag,14.08801,0.00057,60.0
343,AP Dole,13.84358,0.00056,21.0
344,TM Dilshan,13.71753,0.00057,72.2
345,Yudhvir Singh,13.06654,0.00055,29.0
346,DAJ Bracewell,13.00107,0.00055,10.33333
347,WA Mota,12.94671,0.00056,23.5
348,Azmatullah Omarzai,12.94527,0.00056,45.25
349,Sachin Baby,12.67088,0.00054,2.66667
350,RJW Topley,12.65294,0.00056,35.4
351,Akash Singh,12.62231,0.00056,44.8
352,KL Nagarkoti,12.54151,0.00057,56.0
353,RS Hangargekar,12.41432,0.00055,17.66667
354,LE Plunkett,12.39351,0.00057,55.25
355,DP Vijaykumar,12.24444,0.00056,48.0
356,R Ravindra,12.19362,0.00055,7.0
357,Nithish Kumar Reddy,12.10244,0.00056,49.5
358,HR Shokeen,11.98984,0.00057,60.2
359,AL Menaria,11.92134,0.00056,46.66667
360,DJ Thornely,11.79568,0.00055,12.66667
361,S Ladda,11.6951,0.00056,44.2
362,Ankit Soni,11.56309,0.00056,35.25
363,MJ Clarke,11.48313,0.00056,22.33333
364,NB Singh,11.42102,0.00055,14.0
365,A Uniyal,10.97034,0.00055,21.33333
366,GHS Garton,10.95607,0.00055,42.66667
367,Parvez Rasool,10.93715,0.00056,67.0
368,Shivam Sharma,10.89483,0.00056,41.25
369,JW Hastings,10.72382,0.00055,21.0
370,KA Maharaj,10.68071,0.00055,19.5
371,SM Boland,10.44428,0.00055,17.66667
372,SPD Smith,10.02657,0.00054,5.0
373,Sikandar Raza,10.00499,0.00055,44.33333
374,JA Richardson,9.84864,0.00055,50.66667
375,RJ Peterson,9.72779,0.00055,23.33333
376,VR Iyer,9.43462,0.00055,46.66667
377,AC Gilchrist,9.25556,0.00054,0.0
378,PH Solanki,9.13694,0.00055,19.0
379,AK Markram,8.93619,0.00055,85.0
380,Mohammad Hafeez,8.86451,0.00055,30.5
381,Shashank Singh,8.8594,0.00055,24.0
382,MJ Henry,8.7212,0.00055,59.33333
383,P Sahu,8.53223,0.00055,48.0
384,K Santokie,8.38862,0.00055,29.0
385,Tilak Varma,8.15638,0.00055,27.0
386,MW Short,8.0372,0.00055,24.0
387,R Ninan,7.81056,0.00054,21.66667
388,C Nanda,7.74411,0.00055,27.5
389,K Yadav,7.73916,0.00055,42.0
390,JJ van der Wath,7.64961,0.00055,41.66667
391,AM Rahane,7.64497,0.00054,5.0
392,TM Head,7.50329,0.00055,37.66667
393,Shoaib Malik,7.26388,0.00055,38.5
394,MK Lomror,7.26355,0.00055,61.5
395,T Shamsi,7.14041,0.00055,60.33333
396,V Kaverappa,7.09678,0.00054,18.0
397,MA Khote,7.06936,0.00055,25.5
398,JPR Scantlebury-Searles,6.9094,0.00055,43.0
399,Monu Kumar,6.87798,0.00054,16.0
400,SA Yadav,6.74585,0.00054,8.0
401,D Brevis,6.71719,0.00054,8.0
402,S Rana,6.50337,0.00055,18.0
403,GH Vihari,6.45841,0.00055,46.0
404,ND Doshi,6.35634,0.00055,39.0
405,DJM Short,6.29794,0.00054,19.0
406,RS Gavaskar,6.28768,0.00054,8.0
407,Mayank Dagar,6.12835,0.00055,99.0
408,KJ Abbott,6.01305,0.00055,85.0
409,SE Rutherford,5.95756,0.00055,54.0
410,SS Mundhe,5.92067,0.00054,5.0
411,P Suyal,5.89456,0.00055,70.0
412,RA Shaikh,5.71464,0.00054,11.0
413,SC Kuggeleijn,5.69433,0.00055,34.5
414,C Munro,5.63746,0.00054,15.0
415,D Kalyankrishna,5.54666,0.00054,42.5
416,FA Allen,5.43925,0.00055,67.5
417,DNT Zoysa,5.18941,0.00054,48.0
418,A Flintoff,5.16696,0.00054,52.5
419,LJ Wright,5.12477,0.00054,60.0
420,LRPL Taylor,5.10769,0.00054,23.0
421,A Kamboj,5.00189,0.00054,53.0
422,DJ Harris,4.97992,0.00054,26.0
423,B Geeves,4.97189,0.00054,45.0
424,KR Mayers,4.94378,0.00054,55.0
425,WG Jacks,4.90789,0.00054,49.0
426,BJ Rohrer,4.87804,0.00054,11.0
427,Gagandeep Singh,4.7262,0.00054,47.0
428,AS Raut,4.70277,0.00054,44.0
429,SS Sarkar,4.68959,0.00054,34.0
430,M Shahrukh Khan,4.59258,0.00054,15.0
431,M Vijay,4.56916,0.00054,48.0
432,AU Rashid,4.52938,0.00054,45.5
433,S Vidyut,4.50251,0.00054,21.0
434,C Ganapathy,4.45065,0.00054,13.0
435,Abdul Samad,4.40488,0.00054,54.0
436,RA Tripathi,4.39697,0.00054,12.0
437,FY Fazal,4.3213,0.00054,20.0
438,SD Chitnis,4.29925,0.00054,27.0
439,NJ Rimmington,4.26627,0.00054,19.0
440,DB Ravi Teja,4.11681,0.00054,28.0
441,Jalaj S Saxena,4.05856,0.00054,27.0
442,N Wadhera,4.04811,0.00054,13.0
443,AC Voges,4.02564,0.00054,74.0
444,Mandeep Singh,3.93494,0.00054,26.0
445,M Siddharth,3.92035,0.00054,66.0
446,R Powell,3.91885,0.00054,32.0
447,MK Tiwary,3.85459,0.00054,78.0
448,JE Root,3.79716,0.00054,14.0
449,CL White,3.75375,0.00054,81.0
450,Y Gnaneswara Rao,3.75259,0.00054,7.0
451,D Salunkhe,3.7425,0.00054,70.0
452,Aman Hakim Khan,3.67181,0.00054,13.0
453,RV Patel,3.66968,0.00054,20.0
454,LB Williams,3.6581,0.00054,61.0
455,SSB Magala,3.60777,0.00054,50.0
456,R Goyal,3.54608,0.00054,33.0
457,SN Khan,3.53409,0.00054,6.0
458,SS Iyer,3.52299,0.00054,7.0
459,RG More,3.4971,0.00054,57.0
460,Naman Dhir,3.45026,0.00054,54.0
461,AJ Finch,3.38611,0.00054,66.0
462,GR Napier,3.33646,0.00054,27.0
463,BMAJ Mendis,3.31156,0.00054,36.0
464,Vivrant Sharma,3.2896,0.00054,34.0
465,M Manhas,3.26696,0.00054,42.0
466,SR Tendulkar,3.26631,0.00054,57.0
467,NL McCullum,3.22556,0.00054,34.0
468,Abdur Razzak,3.2072,0.00054,23.0
469,Gulbadin Naib,3.20204,0.00054,12.0
470,K Goel,3.20173,0.00054,92.0
471,A Nel,3.18377,0.00054,31.0
472,KS Williamson,3.17612,0.00054,31.0
473,PM Sarvesh Kumar,3.15757,0.00054,41.0
474,CJ Green,3.10845,0.00054,24.0
475,AA Kazi,3.02933,0.00054,20.0
476,LI Meriwala,3.02746,0.00054,31.0
477,Y Prithvi Raj,3.00423,0.00054,54.0
478,CJ McKay,2.9613,0.00054,60.0
479,GS Sandhu,2.90743,0.00054,82.0
480,IC Porel,2.89851,0.00054,37.0
481,AA Jhunjhunwala,2.82096,0.00054,126.0
482,T Henderson,2.81765,0.00054,40.0
483,CK Kapugedera,2.80901,0.00054,49.0
484,V Viyaskanth,2.806,0.00054,86.0
485,Sumit Kumar,2.77727,0.00054,36.0
486,SA Abbott,2.72828,0.00054,99.0
487,K Upadhyay,2.7273,0.00054,79.0
488,Gurnoor Brar,2.71756,0.00054,39.0
489,S Midhun,2.71571,0.00054,26.0
490,SS Agarwal,2.71465,0.00054,42.0
491,Arshad Khan (2),2.62981,0.00054,22.0
492,KT Maphaka,2.5762,0.00054,86.0
493,SZ Mulani,2.56929,0.00054,54.0
494,AA Noffke,2.56676,0.00054,35.0
495,KAJ Roach,2.54226,0.00054,76.0
496,MJ Suthar,2.52694,0.00054,26.0
497,LMP Simmons,2.49342,0.00054,34.0
498,SB Joshi,2.47338,0.00054,82.0
499,A Dananjaya,2.45477,0.00054,46.0
500,VS Yeligati,2.43793,0.00054,53.0
501,CJ Dala,2.4275,0.00054,33.0
502,D Jansen,2.39452,0.00054,49.0
503,AUK Pathan,2.35008,0.00054,57.0
504,DJ Mitchell,2.33966,0.00054,94.0
505,RR Bhatkal,2.30646,0.00054,35.0
506,Mashrafe Mortaza,2.255,0.00054,54.0
507,S Sriram,2.19524,0.00054,49.0
508,P Dubey,2.17184,0.00054,90.0
509,RJ Gleeson,2.13744,0.00054,67.0
510,Harmeet Singh (2),2.02553,0.00054,33.0
511,RW Price,2.00029,0.00054,33.0
512,AJ Hosein,1.99367,0.00054,40.0
513,H Sharma,1.95333,0.00054,57.0
514,S Joseph,1.94058,0.00054,37.0
515,L Wood,1.88245,0.00054,91.0
516,R Sanjay Yadav,1.82912,0.00054,21.0
517,Sunny Gupta,1.81531,0.00054,45.0
518,TP Sudhindra,1.77446,0.00054,132.0
519,MG Neser,1.65295,0.00054,61.0
520,Mohit Rathee,1.64598,0.00054,29.0
521,Tejas Baroka,1.62534,0.00054,33.0
522,MB Parmar,1.61458,0.00054,32.0
523,P Prasanth,1.50738,0.00054,18.0
524,LPC Silva,1.33418,0.00054,21.0
525,B Chipli,1.31154,0.00054,20.0
526,Atharva Taide,1.25,0.00054,4.0
527,P Ray Barman,1.18347,0.00054,56.0
528,I Malhotra,1.14047,0.00054,23.0
529,YBK Jaiswal,0.9881,0.00054,6.0
530,RR Bose,0.86782,0.00054,24.0
531,F du Plessis,0.82584,0.00054,16.0
