Rank,Batsman,In Strength,PageRank Score,Batting Average
231,M Shahrukh Khan,21.50874,0.00075,14.55263
232,Lalit Yadav,12.23782,0.00057,14.52381
233,MG Bracewell,2.42633,0.00045,14.5
234,VH Zol,1.23687,0.00044,14.5
235,Shahbaz Ahmed,20.86954,0.00074,14.48649
236,C de Grandhomme,11.36677,0.00056,14.42857
237,PK Garg,10.45886,0.00055,14.36842
238,Y Nagar,11.21658,0.00057,14.25
239,JA Morkel,35.20998,0.00113,14.13043
240,Abdul Samad,21.97186,0.00078,14.12195
241,VVS Laxman,10.44765,0.00054,14.1
242,BCJ Cutting,9.47233,0.00054,14.0
243,N Saini,6.02127,0.00048,14.0
244,AB Barath,1.61435,0.00044,14.0
245,SP Goswami,11.45237,0.00057,13.95238
246,SP Narine,53.00376,0.00173,13.94545
247,MD Mishra,9.31795,0.00053,13.94118
248,RE Levi,3.59054,0.00046,13.83333
249,DB Das,12.56294,0.00059,13.81818
250,DJ Bravo,51.92824,0.00174,13.80531
251,IK Pathan,41.81168,0.00136,13.69048
252,NLTC Perera,16.99721,0.0007 ,13.67742
253,CA Ingram,7.62632,0.00051,13.66667
254,AB McDonald,5.66677,0.00048,13.66667
255,AA Jhunjhunwala,8.59644,0.00051,13.5625
256,M Manhas,20.66945,0.00074,13.52632
257,D Wiese,5.90607,0.00049,13.45455
258,AM Nayar,25.53274,0.00087,13.44
259,B Chipli,10.74469,0.00056,13.33333
260,BR Dunk,1.70787,0.00045,13.33333
261,LPC Silva,1.62823,0.00044,13.33333
262,DJ Jacobs,3.65882,0.00046,13.14286
263,SB Styris,5.16676,0.00047,13.1
264,Sachin Baby,5.59123,0.00049,13.09091
265,Ramandeep Singh,6.40416,0.00048,13.07692
266,MS Wade,7.41492,0.00049,13.07143
267,CM Gautam,6.93824,0.00051,13.0
268,Arjun Tendulkar,0.5772,0.00044,13.0
269,JM Kemp,1.06445,0.00044,13.0
270,NL McCullum,1.07708,0.00044,13.0
271,STR Binny,34.15674,0.00114,12.94118
272,CR Brathwaite,7.34995,0.0005 ,12.92857
273,K Goel,8.08697,0.00051,12.82353
274,R Shepherd,4.72834,0.00046,12.77778
275,TK Curran,4.95986,0.00047,12.7
276,MF Maharoof,7.3151,0.00049,12.64286
277,SS Prabhudessai,5.29959,0.00048,12.6
278,PJ Cummins,20.29602,0.00076,12.56098
279,SD Chitnis,3.93764,0.00047,12.375
280,GH Vihari,10.73717,0.00057,12.34783
281,CJ Ferguson,3.93005,0.00046,12.25
282,R McLaren,6.08089,0.00048,12.23077
283,A Ashish Reddy,10.85503,0.00057,12.17391
284,AS Raut,7.94421,0.00051,12.125
285,CH Morris,24.91697,0.00088,12.11765
286,AP Tare,13.10375,0.0006 ,12.10714
287,DAJ Bracewell,0.52263,0.00044,12.0
288,ER Dwivedi,1.01247,0.00044,12.0
289,AR Bawne,0.57783,0.00044,12.0
290,LR Shukla,16.67816,0.00069,11.91176
291,SE Rutherford,4.11225,0.00047,11.77778
292,M Kaif,9.45072,0.00053,11.77273
293,Yashpal Singh,1.92254,0.00045,11.75
294,P Dubey,0.88151,0.00044,11.5
295,MN Samuels,6.45555,0.0005 ,11.5
296,Aman Hakim Khan,4.57501,0.00046,11.5
297,JP Faulkner,20.8724,0.00078,11.45652
298,RV Patel,3.27375,0.00045,11.42857
299,S Rana,3.7157,0.00047,11.375
300,DT Christian,18.1102,0.00073,11.21951
301,Mohammad Nabi,8.47592,0.00052,11.05
302,SB Dubey,1.3369,0.00044,11.0
303,Bipul Sharma,7.59509,0.00051,11.0
304,AU Rashid,0.82039,0.00044,11.0
305,HR Shokeen,2.41363,0.00045,11.0
306,D Salunkhe,1.21736,0.00044,11.0
307,IR Jaggi,3.35156,0.00046,10.85714
308,R Sathish,10.21762,0.00055,10.8
309,AT Carey,1.3619,0.00044,10.66667
310,RE van der Merwe,6.70419,0.0005 ,10.6
311,DJ Willey,2.12505,0.00045,10.6
312,P Dogra,4.75639,0.00047,10.58333
313,Azmatullah Omarzai,1.45699,0.00044,10.5
314,S Anirudha,5.43425,0.00047,10.46154
315,P Negi,14.13324,0.00063,10.42857
316,Shoaib Malik,2.09881,0.00045,10.4
317,T Taibu,1.12032,0.00044,10.33333
318,Sameer Rizvi,2.18641,0.00045,10.2
319,RT Ponting,3.57524,0.00046,10.11111
320,DH Yagnik,6.89382,0.0005 ,10.0
321,KAJ Roach,0.4846,0.00044,10.0
322,X Thalaivan Sargunam,0.45763,0.00044,10.0
323,D du Preez,0.34248,0.00044,10.0
324,JE Root,0.42414,0.00044,10.0
325,AA Bilakhia,2.88614,0.00045,9.85714
326,AG Paunikar,1.94503,0.00045,9.8
327,Umar Gul,1.39683,0.00044,9.75
328,DJ Thornely,1.55956,0.00045,9.75
329,Harpreet Brar,10.24309,0.00054,9.70833
330,JO Holder,9.38448,0.00054,9.59259
331,P Sahu,0.8413,0.00044,9.5
332,A Mukund,0.81091,0.00044,9.5
333,Washington Sundar,14.38062,0.00063,9.45
334,Vishnu Vinod,2.12072,0.00045,9.33333
335,KA Jamieson,2.76972,0.00045,9.28571
336,Harbhajan Singh,30.57611,0.00104,9.25556
337,S Narwal,1.59978,0.00044,9.25
338,JDS Neesham,3.53698,0.00046,9.2
339,PR Shah,3.39478,0.00046,9.2
340,K Gowtham,9.72084,0.00053,9.14815
341,Rashid Khan,21.24535,0.00076,9.08333
342,AD Nath,3.5855,0.00046,9.0
343,KW Richardson,1.49229,0.00045,9.0
344,DS Lehmann,0.62736,0.00044,9.0
345,Shahid Afridi,3.03793,0.00045,9.0
346,T Banton,0.5254,0.00044,9.0
347,AA Noffke,0.29334,0.00044,9.0
348,L Wood,0.41456,0.00044,9.0
349,JDP Oram,3.94385,0.00046,8.83333
350,A Chopra,2.01474,0.00045,8.83333
351,D Pretorius,1.90352,0.00045,8.8
