bowler,batsman,times
C Green,N Jagadeesan,1
PP Chawla,Rahmanullah Gurbaz,1
HR Shokeen,N Rana,1
HR Shokeen,SN Thakur,1
RP Meredith,VR Iyer,1
D Jansen,RK Singh,1
Mukesh Kumar,Liton Das,1
A Nortje,VR Iyer,1
I Sharma,N Rana,1
AR Patel,Mandeep Singh,1
AR Patel,RK Singh,1
I Sharma,SP Narine,1
Kuldeep Yadav,JJ Roy,1
Kuldeep Yadav,AS Roy,1
A Nortje,UT Yadav,1
Mukesh Kumar,CV Varun,1
Akash Singh,SP Narine,1
TU Deshpande,N Jagadeesan,1
MM Ali,VR Iyer,1
RA Jadeja,N Rana,1
M Theekshana,JJ Roy,1
M Pathirana,AD Russell,1
TU Deshpande,D Wiese,1
M Theekshana,UT Yadav,1
Vijaykumar Vyshak,N Jagadeesan,1
Vijaykumar Vyshak,JJ Roy,1
PWH de Silva,N Rana,1
PWH de Silva,VR Iyer,1
Mohammed Shami,N Jagadeesan,1
Mohammed Shami,SN Thakur,1
J Little,VR Iyer,1
J Little,N Rana,1
Noor Ahmad,Rahmanullah Gurbaz,1
Noor Ahmad,RK Singh,1
M Jansen,Rahmanullah Gurbaz,1
Kartik Tyagi,JJ Roy,1
AK Markram,N Rana,1
T Natarajan,SN Thakur,1
T Natarajan,Harshit Rana,1
Harpreet Brar,JJ Roy,1
RD Chahar,VR Iyer,1
TA Boult,JJ Roy,1
TA Boult,Rahmanullah Gurbaz,1
KM Asif,AD Russell,1
YS Chahal,SN Thakur,1
YS Chahal,RK Singh,1
Sandeep Sharma,SP Narine,1
DL Chahar,Rahmanullah Gurbaz,1
DL Chahar,VR Iyer,1
DL Chahar,JJ Roy,1
M Pathirana,RK Singh,1
K Gowtham,VR Iyer,1
Ravi Bishnoi,N Rana,1
KH Pandya,JJ Roy,1
Yash Thakur,Rahmanullah Gurbaz,1
Yash Thakur,SN Thakur,1
Yash Thakur,SP Narine,1
T Natarajan,SS Iyer,1
M Markande,N Rana,1
PJ Cummins,Ramandeep Singh,1
M Markande,PD Salt,1
Mayank Dagar,SP Narine,1
Vijaykumar Vyshak,PD Salt,1
Yash Dayal,VR Iyer,1
A Nortje,PD Salt,1
MR Marsh,SP Narine,1
A Nortje,A Raghuvanshi,1
KK Ahmed,SS Iyer,1
A Nortje,RK Singh,1
I Sharma,AD Russell,1
I Sharma,Ramandeep Singh,1
TU Deshpande,PD Salt,1
RA Jadeja,A Raghuvanshi,1
RA Jadeja,VR Iyer,1
M Theekshana,Ramandeep Singh,1
TU Deshpande,RK Singh,1
TU Deshpande,AD Russell,1
Mustafizur Rahman,SS Iyer,1
Mustafizur Rahman,MA Starc,1
Mohsin Khan,SP Narine,1
Mohsin Khan,A Raghuvanshi,1
Avesh Khan,PD Salt,1
KR Sen,A Raghuvanshi,1
KR Sen,VR Iyer,1
Mohammed Siraj,PD Salt,1
Yash Dayal,SP Narine,1
Yash Dayal,A Raghuvanshi,1
C Green,VR Iyer,1
LH Ferguson,RK Singh,1
C Green,SS Iyer,1
RD Chahar,SP Narine,1
