bowler,batsman,times
SR Watson,KK Nair,1
HV Patel,SS Iyer,2
HV Patel,MN Samuels,1
TM Head,CJ Anderson,1
TM Head,PJ Cummins,1
HV Patel,RR Pant,1
P Negi,A Mishra,1
P Negi,Mohammed Shami,1
Mujeeb Ur Rahman,C Munro,1
AR Patel,SS Iyer,1
MM Sharma,V Shankar,1
Mujeeb Ur Rahman,RR Pant,2
AJ Tye,G Gambhir,2
R Ashwin,R Tewatia,1
MM Sharma,DT Christian,1
K Gowtham,C Munro,1
B Laughlin,GJ Maxwell,1
JD Unadkat,RR Pant,2
B Laughlin,V Shankar,1
Mustafizur Rahman,G Gambhir,1
KH Pandya,RR Pant,2
KH Pandya,GJ Maxwell,1
PP Chawla,JJ Roy,1
AD Russell,SS Iyer,3
Shivam Mavi,G Gambhir,1
Kuldeep Yadav,RR Pant,1
TK Curran,R Tewatia,1
Kuldeep Yadav,GJ Maxwell,1
SP Narine,CH Morris,1
SP Narine,V Shankar,1
SP Narine,Mohammed Shami,1
Kuldeep Yadav,TA Boult,1
UT Yadav,G Gambhir,1
YS Chahal,JJ Roy,2
Washington Sundar,SS Iyer,1
YS Chahal,GJ Maxwell,1
CJ Anderson,RR Pant,1
AS Rajpoot,PP Shaw,1
AS Rajpoot,GJ Maxwell,1
R Ashwin,DT Christian,1
AJ Tye,R Tewatia,1
BB Sran,LE Plunkett,1
Mujeeb Ur Rahman,SS Iyer,1
Shivam Mavi,C Munro,1
PP Chawla,PP Shaw,1
AD Russell,RR Pant,2
Shivam Mavi,GJ Maxwell,1
KM Asif,PP Shaw,1
KM Asif,C Munro,1
RA Jadeja,SS Iyer,1
RA Jadeja,GJ Maxwell,2
L Ngidi,RR Pant,2
DS Kulkarni,C Munro,1
S Gopal,PP Shaw,1
JD Unadkat,V Shankar,1
JC Archer,GJ Maxwell,1
Sandeep Sharma,GJ Maxwell,1
Rashid Khan,PP Shaw,1
S Kaul,SS Iyer,1
Rashid Khan,NV Ojha,1
Rashid Khan,RR Pant,1
Shakib Al Hasan,PP Shaw,1
Shakib Al Hasan,JJ Roy,1
Rashid Khan,HV Patel,1
B Kumar,GJ Maxwell,1
YS Chahal,PP Shaw,1
MM Ali,RR Pant,1
Mohammed Siraj,SS Iyer,1
DL Chahar,PP Shaw,1
L Ngidi,SS Iyer,1
SN Thakur,Abhishek Sharma,1
Mustafizur Rahman,PP Shaw,1
JJ Bumrah,GJ Maxwell,1
M Markande,SS Iyer,1
SR Watson,V Sehwag,3
RP Singh,G Gambhir,1
IK Pathan,V Sehwag,2
B Lee,S Dhawan,1
VRV Singh,G Gambhir,1
VRV Singh,Shoaib Malik,1
Yuvraj Singh,KD Karthik,1
IK Pathan,R Bhatia,1
VRV Singh,MK Tiwary,1
IK Pathan,MF Maharoof,1
DW Steyn,V Sehwag,3
JH Kallis,S Dhawan,1
DW Steyn,Shoaib Malik,1
JH Kallis,KD Karthik,1
Z Khan,G Gambhir,1
Joginder Sharma,V Sehwag,1
MS Gony,G Gambhir,1
A Nehra,G Gambhir,1
SM Pollock,S Dhawan,1
DS Kulkarni,AB de Villiers,1
DJ Thornely,V Sehwag,1
SM Pollock,Shoaib Malik,1
DJ Bravo,KD Karthik,1
A Nehra,PJ Sangwan,1
A Nehra,R Bhatia,1
DS Kulkarni,Mohammad Asif,1
DS Kulkarni,GD McGrath,1
MS Gony,V Sehwag,2
JA Morkel,AB de Villiers,1
L Balaji,G Gambhir,2
JA Morkel,S Dhawan,1
L Balaji,Shoaib Malik,1
MM Patel,S Dhawan,1
SK Trivedi,G Gambhir,1
