batsman,bowler,runs
KD Karthik,VR Aaron,12
RA Jadeja,Sandeep Sharma,3
RA Jadeja,VR Aaron,5
RA Jadeja,T Natarajan,1
DR Smith,Z Khan,35
Ishan Kishan,Z Khan,12
DR Smith,Mohammed Shami,1
Ishan Kishan,Mohammed Shami,16
SK Raina,Z Khan,1
Ishan Kishan,A Mishra,6
AJ Finch,A Mishra,15
KD Karthik,CR Brathwaite,7
AJ Finch,CR Brathwaite,25
KD Karthik,Z Khan,12
AJ Finch,Z Khan,8
RA Jadeja,CR Brathwaite,5
RA Jadeja,Mohammed Shami,18
JP Faulkner,Mohammed Shami,5
JP Faulkner,PJ Cummins,11
Ishan Kishan,B Kumar,10
DR Smith,Mohammed Siraj,6
Ishan Kishan,Mohammed Siraj,17
DR Smith,S Kaul,3
Ishan Kishan,S Kaul,20
DR Smith,Mohammad Nabi,12
Ishan Kishan,Mohammad Nabi,5
Ishan Kishan,Rashid Khan,8
Ishan Kishan,MC Henriques,1
SK Raina,Mohammed Siraj,1
RA Jadeja,Rashid Khan,7
JP Faulkner,Rashid Khan,2
RA Jadeja,S Kaul,4
JP Faulkner,S Kaul,1
JP Faulkner,Mohammed Siraj,5
RA Jadeja,Mohammed Siraj,3
PJ Sangwan,Mohammed Siraj,0
RA Jadeja,B Kumar,21
Ankit Soni,B Kumar,0
Ankit Soni,S Kaul,0
P Kumar,S Kaul,1
MM Patel,B Kumar,0
AJ Finch,MG Johnson,17
SK Raina,MG Johnson,1
AJ Finch,MP Stoinis,16
SK Raina,MP Stoinis,10
AJ Finch,AR Patel,9
AJ Finch,P Sahu,12
KD Karthik,P Sahu,13
RA Jadeja,P Sahu,4
RA Jadeja,MM Sharma,3
RA Jadeja,MG Johnson,1
KD Karthik,MG Johnson,9
Ishan Kishan,MG Johnson,5
Ishan Kishan,P Sahu,6
DJ Bravo,MM Sharma,2
AJ Finch,RP Singh,2
BB McCullum,RP Singh,18
AJ Finch,I Sharma,15
BB McCullum,I Sharma,1
AJ Finch,R Ashwin,1
BB McCullum,R Ashwin,17
BB McCullum,M Ashwin,11
AJ Finch,M Ashwin,16
BB McCullum,R Bhatia,6
AJ Finch,R Bhatia,12
BB McCullum,MR Marsh,6
AJ Finch,MR Marsh,4
SK Raina,M Ashwin,10
SK Raina,R Ashwin,12
SK Raina,R Bhatia,6
SK Raina,I Sharma,10
DJ Bravo,I Sharma,13
DJ Bravo,R Ashwin,0
RA Jadeja,M Ashwin,2
DJ Bravo,M Ashwin,2
RA Jadeja,R Bhatia,2
DJ Bravo,R Bhatia,8
RA Jadeja,RP Singh,0
AJ Finch,TG Southee,17
BB McCullum,TG Southee,6
SK Raina,TG Southee,1
AJ Finch,MJ McClenaghan,10
AJ Finch,KH Pandya,7
SK Raina,HH Pandya,8
AJ Finch,HH Pandya,1
AJ Finch,Harbhajan Singh,18
DJ Bravo,KH Pandya,2
DJ Bravo,JJ Bumrah,0
AD Nath,JJ Bumrah,3
AD Nath,KH Pandya,1
AD Nath,TG Southee,7
AD Nath,Harbhajan Singh,1
AD Nath,MJ McClenaghan,0
P Kumar,MJ McClenaghan,0
DS Kulkarni,MJ McClenaghan,1
DS Kulkarni,JJ Bumrah,5
SK Raina,BB Sran,19
BB McCullum,BB Sran,23
BB McCullum,Mustafizur Rahman,2
SK Raina,Mustafizur Rahman,9
SK Raina,DJ Hooda,13
BB McCullum,DJ Hooda,1
SK Raina,MC Henriques,9
BB McCullum,MC Henriques,6
SK Raina,Bipul Sharma,7
KD Karthik,DJ Hooda,5
DJ Bravo,Bipul Sharma,2
DJ Bravo,DJ Hooda,3
DJ Bravo,MC Henriques,4
DJ Bravo,BB Sran,2
RA Jadeja,BB Sran,10
RA Jadeja,Mustafizur Rahman,7
AD Nath,Mustafizur Rahman,3
AD Nath,BB Sran,2
AD Nath,B Kumar,0
DW Steyn,B Kumar,1
BB McCullum,KW Richardson,25
DR Smith,KW Richardson,7
DR Smith,Iqbal Abdulla,30
BB McCullum,Iqbal Abdulla,4
DR Smith,SR Watson,4
SK Raina,T Shamsi,8
BB McCullum,T Shamsi,6
SK Raina,Iqbal Abdulla,2
KD Karthik,T Shamsi,7
SK Raina,SR Watson,7
KD Karthik,SR Watson,14
KD Karthik,KW Richardson,7
SK Raina,KW Richardson,6
KD Karthik,YS Chahal,13
RA Jadeja,Iqbal Abdulla,8
KD Karthik,Iqbal Abdulla,29
RA Jadeja,KW Richardson,2
DJ Bravo,SR Watson,5
BB McCullum,Z Khan,15
BB McCullum,CH Morris,12
BB McCullum,A Mishra,11
DR Smith,A Mishra,8
SK Raina,CH Morris,10
KD Karthik,CH Morris,7
RA Jadeja,Imran Tahir,1
RA Jadeja,A Mishra,2
RA Jadeja,JP Duminy,2
KD Karthik,JP Duminy,12
Ishan Kishan,JP Duminy,1
Ishan Kishan,S Nadeem,1
JP Faulkner,CH Morris,21
DJ Bravo,CH Morris,4
DJ Bravo,Z Khan,3
JP Faulkner,Z Khan,5
DR Smith,JA Morkel,6
BB McCullum,AB Dinda,2
DR Smith,AB Dinda,15
BB McCullum,JA Morkel,22
BB McCullum,NLTC Perera,9
DR Smith,NLTC Perera,6
DR Smith,R Ashwin,19
DR Smith,R Bhatia,16
