bowler,batsman,times
M Theekshana,Anuj Rawat,1
M Theekshana,SS Prabhudessai,1
M Theekshana,Shahbaz Ahmed,2
RA Jadeja,PWH de Silva,1
RA Jadeja,Akash Deep,1
DJ Bravo,KD Karthik,1
SN Thakur,Anuj Rawat,1
KK Ahmed,F du Plessis,1
AR Patel,SS Prabhudessai,1
Kuldeep Yadav,GJ Maxwell,2
PVD Chameera,Anuj Rawat,1
PVD Chameera,V Kohli,1
KH Pandya,GJ Maxwell,2
JO Holder,SS Prabhudessai,1
JO Holder,F du Plessis,1
M Jansen,F du Plessis,1
M Jansen,V Kohli,1
M Jansen,Anuj Rawat,1
T Natarajan,GJ Maxwell,1
J Suchith,SS Prabhudessai,1
J Suchith,KD Karthik,1
Umran Malik,Shahbaz Ahmed,1
T Natarajan,HV Patel,1
T Natarajan,PWH de Silva,1
B Kumar,Mohammed Siraj,1
KR Sen,F du Plessis,1
KR Sen,GJ Maxwell,1
R Ashwin,RM Patidar,2
R Ashwin,SS Prabhudessai,1
YS Chahal,KD Karthik,1
R Ashwin,Shahbaz Ahmed,1
KR Sen,PWH de Silva,1
M Prasidh Krishna,Mohammed Siraj,1
KR Sen,HV Patel,1
PJ Sangwan,F du Plessis,1
PJ Sangwan,RM Patidar,1
Rashid Khan,KD Karthik,1
LH Ferguson,GJ Maxwell,1
AS Joseph,MK Lomror,1
MM Ali,F du Plessis,2
MM Ali,V Kohli,1
D Pretorius,RM Patidar,1
M Theekshana,MK Lomror,1
M Theekshana,PWH de Silva,1
D Pretorius,HV Patel,1
J Suchith,V Kohli,1
J Suchith,RM Patidar,1
Kartik Tyagi,GJ Maxwell,1
R Dhawan,F du Plessis,1
R Dhawan,MK Lomror,1
RD Chahar,RM Patidar,1
Arshdeep Singh,KD Karthik,2
K Rabada,Shahbaz Ahmed,1
RD Chahar,PWH de Silva,1
K Rabada,HV Patel,1
Rashid Khan,F du Plessis,1
Mohsin Khan,F du Plessis,1
Ravi Bishnoi,MK Lomror,1
OC McCoy,F du Plessis,1
TA Boult,GJ Maxwell,1
OC McCoy,MK Lomror,1
M Prasidh Krishna,KD Karthik,1
M Prasidh Krishna,PWH de Silva,1
OC McCoy,HV Patel,1
Arshad Khan,F du Plessis,1
C Green,KD Karthik,1
CV Varun,F du Plessis,1
