batsman,bowler,runs
KL Rahul,MM Sharma,14
KL Rahul,Noor Ahmad,22
KH Pandya,Noor Ahmad,4
KH Pandya,HH Pandya,6
KL Rahul,R Tewatia,1
KH Pandya,R Tewatia,6
N Pooran,Noor Ahmad,2
N Pooran,J Yadav,1
A Badoni,Noor Ahmad,5
A Badoni,MM Sharma,23
MP Stoinis,MM Sharma,14
DJ Hooda,MM Sharma,7
Ravi Bishnoi,MM Sharma,0
KL Rahul,Gurnoor Brar,6
KR Mayers,Gurnoor Brar,11
KR Mayers,Sikandar Raza,17
A Badoni,RD Chahar,12
A Badoni,Gurnoor Brar,11
MP Stoinis,Gurnoor Brar,11
MP Stoinis,LS Livingstone,1
A Badoni,LS Livingstone,6
N Pooran,LS Livingstone,12
N Pooran,Arshdeep Singh,28
DJ Hooda,SM Curran,6
DJ Hooda,Arshdeep Singh,5
DJ Hooda,GJ Maxwell,1
N Pooran,PWH de Silva,7
K Gowtham,PWH de Silva,9
K Gowtham,KV Sharma,13
Ravi Bishnoi,KV Sharma,0
K Gowtham,HV Patel,1
A Mishra,HV Patel,11
A Mishra,KV Sharma,1
Ravi Bishnoi,MK Lomror,2
A Mishra,MK Lomror,1
Naveen-ul-Haq,MK Lomror,1
Naveen-ul-Haq,PWH de Silva,1
A Mishra,PWH de Silva,0
Naveen-ul-Haq,Mohammed Siraj,0
A Mishra,Mohammed Siraj,5
Naveen-ul-Haq,HV Patel,5
A Mishra,JR Hazlewood,1
Naveen-ul-Haq,JR Hazlewood,6
M Vohra,DL Chahar,7
M Vohra,TU Deshpande,1
M Vohra,MM Ali,1
KS Sharma,MM Ali,4
KS Sharma,DL Chahar,1
M Vohra,M Theekshana,1
KS Sharma,M Theekshana,1
KH Pandya,M Theekshana,0
MP Stoinis,M Theekshana,4
KS Sharma,RA Jadeja,3
MP Stoinis,RA Jadeja,14
N Pooran,M Theekshana,5
A Badoni,M Theekshana,26
N Pooran,M Pathirana,21
A Badoni,M Pathirana,9
K Gowtham,M Pathirana,1
KR Mayers,HH Pandya,16
Q de Kock,Rashid Khan,20
KR Mayers,Noor Ahmad,10
Q de Kock,Noor Ahmad,11
Q de Kock,MM Sharma,12
MP Stoinis,Mohammed Shami,2
MP Stoinis,Noor Ahmad,10
N Pooran,MM Sharma,7
N Pooran,Rashid Khan,14
N Pooran,Mohammed Shami,2
Swapnil Singh,Noor Ahmad,1
KH Pandya,MM Sharma,0
Swapnil Singh,AS Joseph,1
Ravi Bishnoi,AS Joseph,4
Q de Kock,Fazalhaq Farooqi,2
KR Mayers,GD Phillips,0
PN Mankad,GD Phillips,7
Q de Kock,T Natarajan,1
PN Mankad,T Natarajan,17
PN Mankad,Fazalhaq Farooqi,15
Q de Kock,M Markande,16
PN Mankad,M Markande,16
Q de Kock,GD Phillips,3
MP Stoinis,M Markande,7
MP Stoinis,Abhishek Sharma,17
PN Mankad,Abhishek Sharma,6
MP Stoinis,B Kumar,10
PN Mankad,B Kumar,3
N Pooran,Abhishek Sharma,18
N Pooran,B Kumar,11
N Pooran,Fazalhaq Farooqi,6
DJ Hooda,JP Behrendorff,4
Q de Kock,JP Behrendorff,1
DJ Hooda,CJ Jordan,3
Q de Kock,CJ Jordan,14
PN Mankad,JP Behrendorff,1
KH Pandya,JP Behrendorff,10
KH Pandya,HR Shokeen,12
KH Pandya,CJ Jordan,5
Q de Kock,HR Shokeen,1
Q de Kock,PP Chawla,0
MP Stoinis,PP Chawla,37
KH Pandya,PP Chawla,28
MP Stoinis,HR Shokeen,24
KH Pandya,Akash Madhwal,5
MP Stoinis,Akash Madhwal,16
MP Stoinis,C Green,38
KH Pandya,C Green,4
