batsman,bowler,runs
RV Gomez,Z Khan,2
R Vinay Kumar,S Aravind,3
R Vinay Kumar,Z Khan,0
RR Powar,Z Khan,3
RR Powar,A Mithun,5
P Parameswaran,A Mithun,1
BB McCullum,RJ Harris,14
DPMD Jayawardene,RJ Harris,16
BB McCullum,BA Bhatt,2
DPMD Jayawardene,BA Bhatt,21
BB McCullum,Bipul Sharma,7
DPMD Jayawardene,Bipul Sharma,13
BB McCullum,SJ Srivastava,7
DPMD Jayawardene,SJ Srivastava,14
BB McCullum,PP Chawla,2
DPMD Jayawardene,PP Chawla,12
RA Jadeja,Bipul Sharma,1
RA Jadeja,PP Chawla,9
RA Jadeja,SJ Srivastava,5
RA Jadeja,BA Bhatt,2
BJ Hodge,PP Chawla,1
BJ Hodge,Bipul Sharma,3
OA Shah,RJ Harris,7
OA Shah,BA Bhatt,8
OA Shah,Bipul Sharma,7
OA Shah,SJ Srivastava,1
PA Patel,SJ Srivastava,0
RV Gomez,SJ Srivastava,1
RV Gomez,RJ Harris,1
R Vinay Kumar,RJ Harris,1
BB McCullum,SW Tait,11
DPMD Jayawardene,SW Tait,6
BB McCullum,JDP Oram,18
DPMD Jayawardene,JDP Oram,0
PA Patel,SW Tait,7
BB McCullum,ND Doshi,0
BJ Hodge,ND Doshi,14
PA Patel,JDP Oram,13
BJ Hodge,JDP Oram,1
BJ Hodge,AA Chavan,10
BJ Hodge,SW Tait,8
PA Patel,ND Doshi,1
Y Gnaneswara Rao,R Ashwin,3
Y Gnaneswara Rao,DE Bollinger,1
Y Gnaneswara Rao,SB Jakati,11
Y Gnaneswara Rao,DJ Bravo,4
BB McCullum,DJ Bravo,4
BB McCullum,SK Raina,10
BJ Hodge,SK Raina,12
BJ Hodge,DJ Bravo,24
RA Jadeja,SB Jakati,4
RA Jadeja,SK Raina,2
RA Jadeja,DE Bollinger,11
OA Shah,DJ Bravo,2
OA Shah,DE Bollinger,1
KM Jadhav,DE Bollinger,1
