bowler,batsman,times
PJ Sangwan,RG Sharma,1
PJ Sangwan,AC Gilchrist,1
DP Nannes,DB Ravi Teja,1
R Bhatia,A Symonds,1
R Bhatia,DR Smith,1
A Nehra,RP Singh,1
R Bhatia,PP Ojha,1
R Bhatia,Shoaib Ahmed,1
BJ Hodge,AC Gilchrist,2
M Kartik,HH Gibbs,1
AB Agarkar,TL Suman,1
Mashrafe Mortaza,A Symonds,1
RR Powar,TL Suman,1
Yuvraj Singh,HH Gibbs,2
Yuvraj Singh,A Symonds,2
Yuvraj Singh,Y Venugopal Rao,1
B Lee,DB Ravi Teja,2
IK Pathan,RG Sharma,1
IK Pathan,RP Singh,1
B Akhil,AC Gilchrist,1
A Kumble,TL Suman,1
B Akhil,HH Gibbs,1
RE van der Merwe,A Symonds,1
P Kumar,Y Venugopal Rao,1
A Kumble,RG Sharma,2
A Nehra,HH Gibbs,1
A Mishra,AA Bilakhia,1
A Mishra,AC Gilchrist,1
A Mishra,A Symonds,2
A Kumble,AC Gilchrist,3
R Vinay Kumar,TL Suman,1
A Kumble,A Symonds,2
A Kumble,Y Venugopal Rao,1
R Vinay Kumar,AA Bilakhia,1
M Kartik,VVS Laxman,1
CK Langeveldt,HH Gibbs,1
I Sharma,A Symonds,1
AD Mathews,RG Sharma,1
LR Shukla,Anirudh Singh,1
CK Langeveldt,WPUJC Vaas,1
R Ashwin,AC Gilchrist,2
R Ashwin,VVS Laxman,1
JA Morkel,HH Gibbs,1
L Balaji,A Symonds,1
SJ Srivastava,AC Gilchrist,1
S Sreesanth,VVS Laxman,1
Yuvraj Singh,RG Sharma,1
Bipul Sharma,Anirudh Singh,1
IK Pathan,WPUJC Vaas,1
S Sreesanth,TL Suman,1
A Mishra,MD Mishra,1
S Ladda,AC Gilchrist,1
Y Nagar,HH Gibbs,1
MC Henriques,A Symonds,1
DP Nannes,RG Sharma,1
UT Yadav,Y Venugopal Rao,1
S Narwal,AC Gilchrist,1
SW Tait,VVS Laxman,1
SK Warne,HH Gibbs,1
SK Warne,A Symonds,1
SW Tait,TL Suman,1
AC Voges,Y Venugopal Rao,1
SW Tait,WPUJC Vaas,1
S Narwal,R Sharma,1
SW Tait,RG Sharma,1
Harbhajan Singh,AC Gilchrist,1
SL Malinga,MD Mishra,1
SL Malinga,A Symonds,1
Harbhajan Singh,TL Suman,2
KA Pollard,Y Venugopal Rao,1
Harbhajan Singh,Jaskaran Singh,1
Z Khan,RG Sharma,1
Z Khan,KAJ Roach,1
SL Malinga,RP Singh,1
AB Agarkar,AC Gilchrist,1
AD Mathews,MD Mishra,1
SE Bond,HH Gibbs,1
CH Gayle,A Symonds,1
KA Pollard,RG Sharma,1
R McLaren,A Symonds,1
KA Pollard,MD Mishra,1
R McLaren,RJ Harris,1
