bowler,batsman,times
Umran Malik,VG Arora,1
Umran Malik,Arshdeep Singh,1
Lalit Yadav,S Dhawan,1
Mustafizur Rahman,MA Agarwal,1
AR Patel,LS Livingstone,1
KK Ahmed,JM Bairstow,1
AR Patel,JM Sharma,2
Kuldeep Yadav,K Rabada,1
Kuldeep Yadav,NT Ellis,1
Lalit Yadav,RD Chahar,1
Mustafizur Rahman,Arshdeep Singh,1
M Theekshana,MA Agarwal,1
DJ Bravo,PBB Rajapaksa,1
DJ Bravo,LS Livingstone,1
DJ Bravo,JM Bairstow,1
PVD Chameera,MA Agarwal,1
Ravi Bishnoi,S Dhawan,1
KH Pandya,PBB Rajapaksa,1
Mohsin Khan,LS Livingstone,1
KH Pandya,JM Sharma,1
PVD Chameera,JM Bairstow,1
Mohsin Khan,K Rabada,1
Mohsin Khan,RD Chahar,1
Mohammed Shami,JM Bairstow,1
LH Ferguson,PBB Rajapaksa,1
R Ashwin,S Dhawan,1
YS Chahal,PBB Rajapaksa,1
YS Chahal,JM Bairstow,2
M Prasidh Krishna,LS Livingstone,1
GJ Maxwell,S Dhawan,2
PWH de Silva,PBB Rajapaksa,1
Shahbaz Ahmed,JM Bairstow,1
HV Patel,MA Agarwal,1
PWH de Silva,JM Sharma,1
HV Patel,Harpreet Brar,1
HV Patel,LS Livingstone,1
HV Patel,R Dhawan,1
HV Patel,RD Chahar,1
A Nortje,JM Bairstow,1
SN Thakur,PBB Rajapaksa,1
SN Thakur,S Dhawan,1
AR Patel,MA Agarwal,1
Kuldeep Yadav,LS Livingstone,1
Kuldeep Yadav,Harpreet Brar,2
AR Patel,R Dhawan,1
SN Thakur,JM Sharma,1
SN Thakur,K Rabada,1
Fazalhaq Farooqi,JM Bairstow,1
Umran Malik,M Shahrukh Khan,1
Washington Sundar,MA Agarwal,1
Fazalhaq Farooqi,S Dhawan,1
J Suchith,JM Sharma,1
TG Southee,P Simran Singh,1
UT Yadav,PBB Rajapaksa,1
TG Southee,JM Sharma,1
CV Varun,S Dhawan,1
SP Narine,Sikandar Raza,1
JO Holder,P Simran Singh,1
R Ashwin,PBB Rajapaksa,1
YS Chahal,JM Sharma,2
R Ashwin,Sikandar Raza,1
JO Holder,M Shahrukh Khan,1
B Kumar,P Simran Singh,2
M Jansen,MW Short,1
M Jansen,JM Sharma,1
M Markande,SM Curran,1
Umran Malik,Sikandar Raza,1
M Markande,M Shahrukh Khan,1
Umran Malik,Harpreet Brar,1
M Markande,RD Chahar,1
M Markande,NT Ellis,1
Mohammed Shami,P Simran Singh,1
J Little,S Dhawan,1
Rashid Khan,MW Short,1
MM Sharma,JM Sharma,1
AS Joseph,PBB Rajapaksa,1
MM Sharma,SM Curran,1
J Little,M Shahrukh Khan,1
J Little,R Dhawan,1
Yudhvir Singh,Atharva Taide,1
Yudhvir Singh,P Simran Singh,1
K Gowtham,MW Short,1
