bowler,batsman,times
B Kumar,Q de Kock,1
B Kumar,MP Stoinis,1
PJ Cummins,KL Rahul,1
I Sharma,KL Rahul,1
I Sharma,Q de Kock,1
AR Patel,MP Stoinis,1
T Stubbs,A Badoni,1
Mukesh Kumar,N Pooran,1
Kuldeep Yadav,KH Pandya,1
KK Ahmed,Yudhvir Singh,1
Mukesh Kumar,Ravi Bishnoi,1
N Thushara,D Padikkal,1
PP Chawla,MP Stoinis,1
PP Chawla,DJ Hooda,1
N Thushara,N Pooran,1
N Thushara,Arshad Khan,1
PP Chawla,KL Rahul,1
