bowler,batsman,times
Shakib Al Hasan,SC Ganguly,2
YK Pathan,RV Uthappa,1
L Balaji,Yuvraj Singh,2
L Balaji,S Rana,1
Harbhajan Singh,SC Ganguly,1
MM Patel,WD Parnell,1
KA Pollard,CJ Ferguson,1
KA Pollard,RV Uthappa,1
SL Malinga,MN Samuels,1
PP Ojha,B Kumar,1
MM Patel,SPD Smith,1
AD Mascarenhas,SC Ganguly,2
P Kumar,JD Ryder,2
Harmeet Singh,MN Samuels,1
Harmeet Singh,CJ Ferguson,1
Harmeet Singh,RV Uthappa,1
JP Faulkner,SPD Smith,1
AD Mascarenhas,MN Samuels,1
Harmeet Singh,AD Mathews,1
AD Mascarenhas,RV Uthappa,1
PP Chawla,SPD Smith,1
Harmeet Singh,MK Pandey,1
AD Mascarenhas,M Manhas,1
AD Mascarenhas,R Sharma,1
P Awana,AB Dinda,1
KMDN Kulasekara,RV Uthappa,2
R Ashwin,SC Ganguly,1
VY Mahesh,MN Samuels,1
HV Patel,JD Ryder,1
R Vinay Kumar,SC Ganguly,1
DL Vettori,RV Uthappa,1
R Vinay Kumar,SPD Smith,2
Z Khan,MN Samuels,1
R Vinay Kumar,AD Mathews,2
KMDN Kulasekara,JD Ryder,1
DJ Bravo,MK Pandey,2
SB Jakati,SC Ganguly,1
R Ashwin,MN Samuels,1
DE Bollinger,SPD Smith,1
DJ Bravo,AD Mathews,1
M Morkel,RV Uthappa,1
M Morkel,SC Ganguly,2
M Morkel,JD Ryder,1
IK Pathan,JD Ryder,1
Ankit Sharma,JD Ryder,1
J Theron,MK Pandey,1
MS Gony,SC Ganguly,1
A Ashish Reddy,RV Uthappa,2
A Ashish Reddy,MN Samuels,1
J Theron,SPD Smith,1
MS Gony,AC Thomas,1
Ankit Sharma,MK Pandey,1
V Pratap Singh,MJ Clarke,1
S Dhawan,SC Ganguly,1
V Pratap Singh,M Manhas,1
MM Patel,RV Uthappa,1
Harbhajan Singh,MJ Clarke,1
PP Ojha,SPD Smith,1
SL Malinga,SC Ganguly,1
SL Malinga,WD Parnell,1
M de Lange,MJ Clarke,1
M de Lange,RV Uthappa,1
JH Kallis,M Manhas,1
SP Narine,SPD Smith,1
R Bhatia,SC Ganguly,1
SP Narine,WD Parnell,2
M de Lange,AD Mathews,1
SW Tait,SC Ganguly,1
STR Binny,MJ Clarke,1
J Botha,AP Majumdar,1
SW Tait,RV Uthappa,1
SK Trivedi,AD Mathews,1
SW Tait,M Manhas,1
Z Khan,MD Mishra,1
Z Khan,MK Pandey,1
R Vinay Kumar,MJ Clarke,1
KP Appanna,AD Mathews,1
HV Patel,AP Majumdar,1
M Muralitharan,B Kumar,1
R Vinay Kumar,AC Thomas,1
R Vinay Kumar,R Sharma,1
A Chandila,JD Ryder,1
A Chandila,SC Ganguly,1
A Chandila,RV Uthappa,1
A Chandila,AP Majumdar,1
J Botha,CJ Ferguson,1
J Botha,SPD Smith,1
SW Tait,B Kumar,1
SR Watson,AD Mathews,1
SR Watson,R Sharma,1
Iqbal Abdulla,RV Uthappa,2
YK Pathan,MJ Clarke,1
Shakib Al Hasan,AP Majumdar,1
R Bhatia,CJ Ferguson,1
SP Narine,Harpreet Singh,1
L Balaji,WD Parnell,1
NLTC Perera,RV Uthappa,2
NLTC Perera,MN Samuels,1
A Mishra,Yuvraj Singh,1
A Mishra,AM Nayar,1
A Ashish Reddy,LRPL Taylor,1
NLTC Perera,MR Marsh,1
DW Steyn,B Kumar,1
DW Steyn,R Sharma,1
DW Steyn,AB Dinda,1
Azhar Mahmood,TL Suman,1
P Awana,MN Samuels,1
PP Chawla,RV Uthappa,1
P Awana,AD Mathews,1
P Kumar,LRPL Taylor,1
RJ Harris,MR Marsh,1
Azhar Mahmood,B Kumar,1
Azhar Mahmood,R Sharma,1
