batsman,bowler,runs
B Sai Sudharsan,SP Narine,14
Shubman Gill,CV Varun,20
B Sai Sudharsan,CV Varun,9
Shubman Gill,SP Narine,13
B Sai Sudharsan,Suyash Sharma,15
Shubman Gill,Suyash Sharma,15
B Sai Sudharsan,LH Ferguson,7
A Manohar,SP Narine,1
A Manohar,UT Yadav,13
B Sai Sudharsan,UT Yadav,1
A Manohar,Suyash Sharma,0
V Shankar,Suyash Sharma,20
B Sai Sudharsan,SN Thakur,18
V Shankar,LH Ferguson,25
V Shankar,SP Narine,7
DA Miller,LH Ferguson,0
WP Saha,Arshdeep Singh,31
Shubman Gill,Harpreet Brar,36
WP Saha,Harpreet Brar,3
Shubman Gill,SM Curran,21
B Sai Sudharsan,SM Curran,16
B Sai Sudharsan,Harpreet Brar,15
B Sai Sudharsan,MW Short,6
Shubman Gill,MW Short,2
HH Pandya,Harpreet Brar,2
DA Miller,Harpreet Brar,2
DA Miller,RD Chahar,3
DA Miller,SM Curran,4
DA Miller,Arshdeep Singh,3
R Tewatia,SM Curran,9
B Sai Sudharsan,TA Boult,15
B Sai Sudharsan,A Zampa,4
Shubman Gill,A Zampa,14
HH Pandya,A Zampa,35
DA Miller,A Zampa,6
A Manohar,Sandeep Sharma,2
A Manohar,TA Boult,16
A Manohar,A Zampa,7
Rashid Khan,Sandeep Sharma,1
R Tewatia,Sandeep Sharma,1
WP Saha,Naveen-ul-Haq,9
WP Saha,KH Pandya,24
HH Pandya,Naveen-ul-Haq,7
WP Saha,Avesh Khan,19
WP Saha,Ravi Bishnoi,15
HH Pandya,MP Stoinis,24
WP Saha,MP Stoinis,4
WP Saha,A Mishra,4
HH Pandya,A Mishra,3
A Manohar,KH Pandya,2
A Manohar,A Mishra,1
V Shankar,A Mishra,1
V Shankar,MP Stoinis,2
V Shankar,Naveen-ul-Haq,9
DA Miller,Naveen-ul-Haq,2
R Tewatia,MP Stoinis,2
DA Miller,MP Stoinis,1
WP Saha,Arjun Tendulkar,3
Shubman Gill,Arjun Tendulkar,1
Shubman Gill,JP Behrendorff,20
WP Saha,JP Behrendorff,15
HH Pandya,Arjun Tendulkar,5
HH Pandya,JP Behrendorff,7
HH Pandya,C Green,2
Shubman Gill,C Green,43
HH Pandya,PP Chawla,0
V Shankar,PP Chawla,5
Shubman Gill,PP Chawla,45
V Shankar,K Kartikeya,13
V Shankar,RP Meredith,1
DA Miller,K Kartikeya,17
A Manohar,PP Chawla,19
DA Miller,PP Chawla,26
A Manohar,K Kartikeya,1
A Manohar,JP Behrendorff,4
