bowler,batsman,times
PP Chawla,MK Pandey,1
RP Meredith,YV Dhull,1
PP Chawla,R Powell,1
PP Chawla,Lalit Yadav,1
JP Behrendorff,AR Patel,1
JP Behrendorff,DA Warner,1
JP Behrendorff,Kuldeep Yadav,1
JP Behrendorff,Abishek Porel,1
RP Meredith,A Nortje,1
WD Parnell,MR Marsh,1
Mohammed Siraj,YV Dhull,1
Vijaykumar Vyshak,DA Warner,1
HV Patel,Abishek Porel,1
Vijaykumar Vyshak,AR Patel,1
PWH de Silva,MK Pandey,1
Vijaykumar Vyshak,Lalit Yadav,1
Mohammed Siraj,Aman Hakim Khan,1
N Rana,MR Marsh,1
AS Roy,PD Salt,1
CV Varun,DA Warner,1
AS Roy,MK Pandey,1
N Rana,Aman Hakim Khan,1
B Kumar,PD Salt,1
T Natarajan,MR Marsh,1
Washington Sundar,DA Warner,1
Washington Sundar,SN Khan,1
Washington Sundar,Aman Hakim Khan,1
B Kumar,AR Patel,1
T Natarajan,MK Pandey,1
B Kumar,A Nortje,1
B Kumar,RV Patel,1
B Kumar,DA Warner,2
M Markande,PD Salt,1
Abhishek Sharma,MK Pandey,1
AJ Hosein,MR Marsh,1
M Markande,PK Garg,1
T Natarajan,SN Khan,1
Mohammed Shami,PD Salt,1
HH Pandya,DA Warner,1
Mohammed Shami,RR Rossouw,1
Mohammed Shami,MK Pandey,1
Mohammed Shami,PK Garg,1
MM Sharma,AR Patel,1
MM Sharma,RV Patel,1
JR Hazlewood,DA Warner,1
HV Patel,MR Marsh,1
KV Sharma,PD Salt,1
DL Chahar,DA Warner,1
DL Chahar,PD Salt,2
TU Deshpande,MR Marsh,1
M Pathirana,MK Pandey,1
RA Jadeja,RR Rossouw,1
M Pathirana,AR Patel,1
TU Deshpande,RV Patel,1
M Pathirana,Lalit Yadav,1
Harpreet Brar,PD Salt,1
RD Chahar,MR Marsh,1
Harpreet Brar,RR Rossouw,1
Harpreet Brar,DA Warner,1
RD Chahar,AR Patel,1
Harpreet Brar,MK Pandey,1
NT Ellis,Aman Hakim Khan,1
NT Ellis,P Dubey,1
SM Curran,DA Warner,1
SM Curran,PP Shaw,1
TU Deshpande,PP Shaw,1
DL Chahar,RR Rossouw,1
RA Jadeja,YV Dhull,1
DL Chahar,AR Patel,1
M Pathirana,Aman Hakim Khan,1
M Pathirana,DA Warner,1
M Theekshana,Lalit Yadav,1
M Theekshana,Kuldeep Yadav,1
Arshdeep Singh,MR Marsh,1
HV Patel,DA Warner,1
K Rabada,SD Hope,1
HV Patel,RR Pant,1
Harpreet Brar,RK Bhui,1
RD Chahar,T Stubbs,1
HV Patel,AR Patel,1
Arshdeep Singh,Sumit Kumar,1
HV Patel,Kuldeep Yadav,1
N Burger,MR Marsh,1
N Burger,RK Bhui,1
Mustafizur Rahman,DA Warner,1
M Pathirana,MR Marsh,1
M Pathirana,T Stubbs,1
M Pathirana,RR Pant,1
VG Arora,PP Shaw,2
MA Starc,MR Marsh,1
VG Arora,Abishek Porel,1
MA Starc,DA Warner,1
CV Varun,T Stubbs,2
SP Narine,Sumit Kumar,1
VG Arora,Rasikh Salam,1
AD Russell,A Nortje,1
R Shepherd,DA Warner,1
JJ Bumrah,Abishek Porel,1
G Coetzee,RR Pant,1
R Shepherd,AR Patel,1
G Coetzee,Lalit Yadav,1
G Coetzee,Kumar Kushagra,1
G Coetzee,JA Richardson,1
Yash Thakur,DA Warner,1
Ravi Bishnoi,PP Shaw,1
Naveen-ul-Haq,J Fraser-McGurk,1
SH Johnson,J Fraser-McGurk,1
S Sandeep Warrier,PP Shaw,2
S Sandeep Warrier,Abishek Porel,1
Rashid Khan,SD Hope,1
Washington Sundar,PP Shaw,1
M Markande,J Fraser-McGurk,1
M Markande,Abishek Porel,1
Nithish Kumar Reddy,T Stubbs,1
T Natarajan,Lalit Yadav,1
T Natarajan,AR Patel,1
T Natarajan,Kuldeep Yadav,1
Nithish Kumar Reddy,RR Pant,1
S Sandeep Warrier,J Fraser-McGurk,1
S Sandeep Warrier,SD Hope,1
Noor Ahmad,AR Patel,1
PP Chawla,J Fraser-McGurk,1
Mohammad Nabi,Abishek Porel,1
L Wood,SD Hope,1
MA Starc,J Fraser-McGurk,1
VG Arora,SD Hope,1
Harshit Rana,Abishek Porel,1
SP Narine,AR Patel,1
CV Varun,Kumar Kushagra,1
Harshit Rana,Rasikh Salam,1
R Ashwin,J Fraser-McGurk,1
Sandeep Sharma,SD Hope,1
R Ashwin,AR Patel,1
R Ashwin,Abishek Porel,1
TA Boult,Gulbadin Naib,1
Sandeep Sharma,T Stubbs,1
Sandeep Sharma,Rasikh Salam,1
Swapnil Singh,DA Warner,1
Yash Dayal,Abishek Porel,1
Yash Dayal,J Fraser-McGurk,1
Mohammed Siraj,Kumar Kushagra,1
LH Ferguson,SD Hope,1
C Green,T Stubbs,1
C Green,Rasikh Salam,1
Yash Dayal,AR Patel,1
LH Ferguson,Mukesh Kumar,1
Yash Dayal,Kuldeep Yadav,1
Arshad Khan,J Fraser-McGurk,1
Ravi Bishnoi,SD Hope,1
Naveen-ul-Haq,Abishek Porel,1
Naveen-ul-Haq,RR Pant,1
