bowler,batsman,times
PP Chawla,KM Jadhav,1
SP Narine,MS Dhoni,1
S Nadeem,SR Watson,1
Rashid Khan,SK Raina,2
Rashid Khan,KM Jadhav,1
KK Ahmed,SW Billings,1
DW Steyn,SR Watson,1
DW Steyn,SK Raina,1
UT Yadav,F du Plessis,1
UT Yadav,KM Jadhav,1
YS Chahal,AT Rayudu,4
NA Saini,RA Jadeja,1
NA Saini,DJ Bravo,1
UT Yadav,SN Thakur,1
B Kumar,F du Plessis,2
Sandeep Sharma,AT Rayudu,1
KH Pandya,KM Jadhav,1
AS Roy,DR Shorey,1
JJ Bumrah,M Vijay,1
JJ Bumrah,DL Chahar,1
SL Malinga,Harbhajan Singh,1
SL Malinga,MJ Santner,1
J Suchith,SR Watson,1
AR Patel,F du Plessis,2
J Suchith,SK Raina,2
CH Morris,RA Jadeja,3
SM Curran,SR Watson,1
SM Curran,SK Raina,1
SM Curran,F du Plessis,1
Mohammed Shami,AT Rayudu,2
Mohammed Shami,KM Jadhav,1
RD Chahar,F du Plessis,1
J Yadav,SK Raina,2
RD Chahar,M Vijay,1
TA Boult,F du Plessis,3
AR Patel,SK Raina,1
I Sharma,MS Dhoni,1
KH Pandya,F du Plessis,1
RD Chahar,SK Raina,1
JJ Bumrah,AT Rayudu,2
SL Malinga,SN Thakur,1
TA Boult,SR Watson,1
JL Pattinson,M Vijay,1
RD Chahar,AT Rayudu,1
KH Pandya,RA Jadeja,1
JJ Bumrah,SM Curran,1
R Tewatia,SR Watson,1
S Gopal,M Vijay,1
R Tewatia,SM Curran,1
R Tewatia,RD Gaikwad,1
TK Curran,KM Jadhav,1
JC Archer,F du Plessis,2
Shivam Mavi,F du Plessis,2
KL Nagarkoti,AT Rayudu,1
CV Varun,MS Dhoni,3
AD Russell,SM Curran,1
CJ Jordan,F du Plessis,1
TU Deshpande,SM Curran,1
A Nortje,SR Watson,1
K Rabada,F du Plessis,2
A Nortje,MS Dhoni,1
T Natarajan,AT Rayudu,1
T Natarajan,F du Plessis,1
Abdul Samad,KM Jadhav,1
T Natarajan,RA Jadeja,1
TA Boult,RD Gaikwad,3
JJ Bumrah,N Jagadeesan,1
TA Boult,RA Jadeja,2
RD Chahar,MS Dhoni,2
RD Chahar,DL Chahar,1
NM Coulter-Nile,SN Thakur,1
TA Boult,SM Curran,1
Washington Sundar,F du Plessis,1
Washington Sundar,SR Watson,1
NA Saini,N Jagadeesan,1
YS Chahal,MS Dhoni,3
CH Morris,SM Curran,1
I Udana,AT Rayudu,1
CH Morris,DJ Bravo,1
Sandeep Sharma,SM Curran,1
KK Ahmed,AT Rayudu,3
T Natarajan,SR Watson,1
T Natarajan,MS Dhoni,2
KK Ahmed,DJ Bravo,1
Kartik Tyagi,SR Watson,1
S Gopal,SM Curran,1
R Tewatia,AT Rayudu,1
Kartik Tyagi,MS Dhoni,1
CV Varun,SR Watson,1
PJ Cummins,AT Rayudu,1
PJ Cummins,RD Gaikwad,1
AR Patel,SR Watson,1
A Nortje,M Vijay,1
AR Patel,RD Gaikwad,2
A Nortje,KM Jadhav,1
K Rabada,MS Dhoni,1
K Rabada,RA Jadeja,1
CH Morris,F du Plessis,2
Avesh Khan,F du Plessis,1
CR Woakes,RD Gaikwad,1
R Ashwin,MM Ali,1
TK Curran,AT Rayudu,1
Avesh Khan,SK Raina,1
Avesh Khan,MS Dhoni,2
CR Woakes,SM Curran,1
Arshdeep Singh,RD Gaikwad,3
M Ashwin,MM Ali,1
Mohammed Shami,SK Raina,1
Mustafizur Rahman,RD Gaikwad,1
R Tewatia,MM Ali,2
C Sakariya,AT Rayudu,2
C Sakariya,SK Raina,1
C Sakariya,MS Dhoni,1
Mustafizur Rahman,SM Curran,1
Mustafizur Rahman,SN Thakur,1
CV Varun,RD Gaikwad,2
SP Narine,MM Ali,2
AD Russell,MS Dhoni,2
YS Chahal,RD Gaikwad,2
HV Patel,SK Raina,2
HV Patel,F du Plessis,2
Rashid Khan,RD Gaikwad,2
Rashid Khan,MM Ali,3
JJ Bumrah,MM Ali,1
KA Pollard,F du Plessis,1
KA Pollard,SK Raina,2
R Tewatia,F du Plessis,1
R Tewatia,SK Raina,1
JO Holder,RD Gaikwad,1
JO Holder,SK Raina,1
JO Holder,F du Plessis,1
Arshdeep Singh,MM Ali,1
CJ Jordan,RV Uthappa,1
CJ Jordan,AT Rayudu,1
Ravi Bishnoi,MS Dhoni,1
Mohammed Shami,F du Plessis,2
AD Russell,RD Gaikwad,1
M Prasidh Krishna,F du Plessis,1
LH Ferguson,MM Ali,1
CV Varun,SK Raina,1
SP Narine,SM Curran,1
SP Narine,RA Jadeja,2
AF Milne,MM Ali,1
AF Milne,AT Rayudu,1
TA Boult,SK Raina,1
AF Milne,MS Dhoni,1
JJ Bumrah,RA Jadeja,1
A Nortje,RD Gaikwad,2
AR Patel,MM Ali,1
R Ashwin,RV Uthappa,1
GJ Maxwell,F du Plessis,1
HV Patel,MM Ali,2
A Nortje,F du Plessis,1
TK Curran,RV Uthappa,1
TK Curran,SN Thakur,1
K Rabada,AT Rayudu,2
Avesh Khan,RD Gaikwad,1
TK Curran,MM Ali,1
SP Narine,RD Gaikwad,1
SP Narine,RV Uthappa,1
UT Yadav,RD Gaikwad,2
UT Yadav,DP Conway,1
CV Varun,RV Uthappa,1
AD Russell,S Dube,1
AJ Tye,RD Gaikwad,1
Ravi Bishnoi,RV Uthappa,1
Avesh Khan,MM Ali,1
Ravi Bishnoi,AT Rayudu,1
Avesh Khan,S Dube,1
AJ Tye,D Pretorius,1
K Rabada,RD Gaikwad,2
VG Arora,RV Uthappa,1
VG Arora,MM Ali,1
Arshdeep Singh,RA Jadeja,2
OF Smith,AT Rayudu,1
LS Livingstone,S Dube,1
LS Livingstone,DJ Bravo,1
RD Chahar,D Pretorius,1
RD Chahar,CJ Jordan,1
Washington Sundar,RV Uthappa,1
T Natarajan,RD Gaikwad,3
Washington Sundar,AT Rayudu,1
AK Markram,MM Ali,1
T Natarajan,S Dube,1
M Jansen,MS Dhoni,1
B Kumar,RA Jadeja,1
JR Hazlewood,RD Gaikwad,1
GJ Maxwell,MM Ali,1
PWH de Silva,RV Uthappa,1
PWH de Silva,RA Jadeja,1
Mohammed Shami,RV Uthappa,1
AS Joseph,MM Ali,1
AS Joseph,AT Rayudu,1
Yash Dayal,RD Gaikwad,2
LH Ferguson,S Dube,1
DR Sams,RD Gaikwad,2
DR Sams,MJ Santner,1
JD Unadkat,RV Uthappa,1
DR Sams,S Dube,1
DR Sams,AT Rayudu,1
RP Meredith,RA Jadeja,1
