bowler,batsman,times
M Prasidh Krishna,KL Rahul,1
SP Narine,Mandeep Singh,1
TK Curran,MA Agarwal,1
AS Rajpoot,KL Rahul,1
YS Chahal,CH Gayle,1
BA Stokes,KL Rahul,1
KK Ahmed,MA Agarwal,1
KK Ahmed,P Simran Singh,1
Abhishek Sharma,KL Rahul,1
T Natarajan,GJ Maxwell,1
Rashid Khan,Mandeep Singh,1
KK Ahmed,Mujeeb Ur Rahman,1
Rashid Khan,N Pooran,1
Rashid Khan,Mohammed Shami,1
T Natarajan,SS Cottrell,1
T Natarajan,Arshdeep Singh,1
AR Patel,KL Rahul,1
R Ashwin,CH Gayle,1
R Ashwin,MA Agarwal,1
MS Gony,K Goel,2
P Amarnath,JR Hopes,1
Joginder Sharma,Yuvraj Singh,1
M Muralitharan,KC Sangakkara,2
MM Patel,K Goel,1
SK Warne,KC Sangakkara,1
D Salunkhe,DPMD Jayawardene,1
SK Warne,JR Hopes,1
SK Warne,Yuvraj Singh,1
SK Trivedi,IK Pathan,1
SK Trivedi,B Lee,1
MM Patel,S Sohal,1
A Nehra,IK Pathan,1
Harbhajan Singh,K Goel,2
SM Pollock,Yuvraj Singh,1
A Nehra,RR Sarwan,1
Harbhajan Singh,DPMD Jayawardene,2
DS Kulkarni,S Sohal,1
Harbhajan Singh,KC Sangakkara,2
Harbhajan Singh,PP Chawla,1
DS Kulkarni,S Sreesanth,1
DS Kulkarni,VRV Singh,1
GD McGrath,K Goel,1
Mohammad Asif,KC Sangakkara,1
Shoaib Malik,DPMD Jayawardene,1
R Bhatia,SM Katich,1
VY Mahesh,TM Srivastava,1
Mohammad Asif,IK Pathan,1
SB Bangar,RR Sarwan,1
D Kalyankrishna,KC Sangakkara,1
DNT Zoysa,Yuvraj Singh,1
AB Dinda,JR Hopes,1
Mohammad Hafeez,Yuvraj Singh,1
DJ Hussey,SE Marsh,1
Umar Gul,DPMD Jayawardene,1
DJ Hussey,K Goel,1
Umar Gul,KC Sangakkara,2
Z Khan,JR Hopes,1
P Kumar,RR Sarwan,1
P Kumar,Yuvraj Singh,1
Z Khan,SE Marsh,2
JA Morkel,JR Hopes,1
L Balaji,RR Sarwan,1
L Balaji,SE Marsh,1
P Amarnath,Yuvraj Singh,1
M Muralitharan,DPMD Jayawardene,3
L Balaji,IK Pathan,2
